# Time-averaged data for fix 3
# TimeStep v_Temperature v_PotentialEnergy v_Pressure
2000 266.296 -21925.9 -206.295
3000 299.397 -21672.1 32.3045
4000 299.781 -21922.5 -84.9277
5000 299.783 -22121.5 -30.0706
6000 300.7 -22182.9 -48.051
7000 299.579 -22210 36.4481
8000 301.105 -22245.9 28.6465
9000 299.342 -22442.5 -48.5653
10000 298.928 -22535.2 77.3936
11000 300.659 -22591.3 28.6476
12000 300.804 -22553.4 22.6558
13000 300.907 -22621.5 34.1426
14000 299.294 -22700.1 -76.6517
15000 300.244 -22715 47.3609
16000 301.088 -22720.3 -20.8501
17000 301.813 -22681.9 -91.1059
18000 299.953 -22748.9 15.5878
19000 301.006 -22807.4 63.6829
20000 301.96 -22829.4 -71.6643
21000 300.688 -22809.8 -54.3029
22000 300.968 -22840.6 114.14
23000 299.99 -22890.7 -65.3866
24000 297.827 -22881.2 19.2835
25000 298.956 -22787.1 59.2791
26000 299.031 -22696.4 -73.2315
27000 301.475 -22691.9 31.7437
28000 299.991 -22765.3 69.8824
29000 300.129 -22789.2 -84.1255
30000 300.44 -22789.9 -22.8981
31000 300.759 -22851.9 -63.6422
32000 302.276 -22860 -24.6936
33000 298.887 -22902.3 29.3707
34000 299.909 -22930.1 25.4136
35000 298.848 -22936.6 -59.087
36000 299.531 -22901.8 -24.8411
37000 299.839 -22917.1 21.9269
38000 298.916 -22977 5.09164
39000 300.585 -22906.7 -48.1683
40000 300.377 -22890.6 64.0935
41000 300.964 -22861.9 39.6204
42000 300.015 -22863 -14.3041
43000 301.303 -22904.5 -73.2138
44000 300.123 -22945.5 47.083
45000 300.021 -22895.5 9.80186
46000 299.393 -22913.9 -62.4641
47000 301.84 -22841.5 -16.8744
48000 300.254 -22897.3 113.528
49000 299.724 -22944.1 -10.5918
50000 300.978 -22902.1 29.3784
51000 299.883 -22935.6 9.79057
52000 300.395 -22908.4 -58.5989
53000 301.19 -22903.7 26.2707
54000 300.554 -22901.1 17.7235
55000 300.431 -22932.7 16.0425
56000 299.989 -22910.3 -97.5696
57000 302.453 -22992.4 58.4627
58000 300.18 -23003 -20.2209
59000 298.489 -23032.1 -47.7069
60000 301.782 -22986.8 109.081
61000 299.751 -23076.9 -103.891
62000 301.101 -23069.5 3.08427
63000 299.437 -23073.1 24.5393
64000 299.181 -22989.1 -12.8432
65000 300.378 -23014.1 85.7449
66000 300.102 -23014.1 11.6527
67000 299.289 -23005.5 28.6054
68000 299.643 -22964.5 12.8894
69000 301.162 -22969.9 -1.43194
70000 299.866 -22973.2 48.0279
71000 301.346 -22990.3 -9.0529
72000 299.234 -23003.9 36.6604
73000 299.776 -23012.9 0.137752
74000 300.704 -22998.6 -134.557
75000 298.755 -23065.8 -29.8892
76000 299.034 -23111.5 38.9892
77000 300.42 -23049.5 -22.7455
78000 299.663 -23022.7 -23.356
