# Time-averaged data for fix 3
# TimeStep v_Temperature v_PotentialEnergy v_Pressure
2000 502.315 -12457.7 21.8648
3000 498.707 -12483.4 -3.32528
4000 500.56 -12292.9 0.661166
5000 499.544 -12313.6 0.119053
6000 498.995 -12351.3 -3.78755
7000 502.52 -12346.5 -9.784
8000 502.179 -12257.4 -2.83518
9000 500.393 -12331.3 -7.79635
10000 500.572 -12300 -1.29295
11000 498.396 -12396.1 15.3129
12000 499.933 -12432 -0.317884
13000 498.491 -12353.9 14.4362
14000 498.013 -12399 0.237129
15000 496.504 -12461.1 -5.01177
16000 500.571 -12394.2 20.486
17000 501.601 -12324.4 -0.414623
18000 498.598 -12345.3 -2.30864
19000 500.682 -12361.4 -11.3899
20000 501.07 -12349.5 23.5727
21000 500.448 -12485.6 -18.525
22000 498.044 -12447 11.6126
23000 501.62 -12356.8 13.0375
24000 499.366 -12393.7 -4.15688
25000 497.28 -12337.5 0.711024
26000 500.943 -12269.3 -9.16522
27000 497.304 -12363.1 10.991
28000 498.995 -12247.3 14.733
29000 497.417 -12389.8 -5.91338
30000 501.129 -12317.2 18.8684
31000 501.404 -12290.3 -2.90173
32000 500.644 -12290.7 -18.4874
33000 498.815 -12298.9 5.8602
34000 500.526 -12316.4 6.45432
35000 500.503 -12404.2 -13.8619
36000 497.296 -12355.5 14.3818
37000 499.963 -12312.8 1.74222
38000 498.829 -12397.1 -2.43415
39000 500.265 -12346 15.6698
40000 498.616 -12255.7 -5.29983
41000 501.693 -12321.8 1.92577
42000 499.673 -12349.3 -1.96168
43000 501.653 -12296.2 -9.90326
44000 500.759 -12267.4 -4.10302
45000 501.488 -12201.8 4.93368
46000 498.298 -12238.4 24.9896
47000 499.531 -12311.3 -4.34022
48000 501.057 -12206.2 17.3852
49000 503.329 -12129.5 4.93589
50000 500.957 -12116.6 2.28349
51000 500.999 -12271.4 -3.20866
52000 499.414 -12424.8 8.87812
53000 501.143 -12364.7 -2.33103
54000 497.461 -12424.7 -0.709276
55000 500.811 -12292.4 -8.29872
56000 501.586 -12241.5 4.72191
57000 497.542 -12407.2 4.95158
58000 495.477 -12374.4 11.3469
59000 499.709 -12320.9 14.4908
60000 499.492 -12333.5 -11.8371
61000 499.361 -12298.2 16.6659
62000 499.188 -12302.3 -5.6481
63000 499.44 -12363.4 13.4514
64000 498.724 -12334.5 5.12558
65000 498.592 -12212.6 -2.78573
66000 499.629 -12288.1 10.6421
67000 500.41 -12244.8 0.795918
68000 498.923 -12284.1 3.24284
69000 497.935 -12298.4 -3.13936
70000 499.152 -12334.6 26.3906
