# Time-averaged data for fix 3
# TimeStep v_Temperature v_PotentialEnergy v_Pressure
2000 401.474 -15709.3 -32.3923
3000 400.071 -15652 5.42475
4000 399.263 -15700.6 4.4671
5000 399.96 -15647.5 6.13403
6000 400.206 -15642.9 28.1468
7000 399.92 -15652.4 -6.95583
8000 399.275 -15639.9 11.8393
9000 401.205 -15581.9 -7.41988
10000 400.344 -15611 16.8819
11000 402.313 -15599.8 -22.2913
12000 399.839 -15671.1 -5.1693
13000 399.432 -15632.8 6.22467
14000 401.224 -15644.1 22.2017
15000 399.049 -15665.1 8.34407
16000 399.57 -15692.7 9.33254
17000 398.471 -15675.2 -41.2558
18000 400.265 -15617.2 -15.3154
19000 398.201 -15648.3 -13.4107
20000 401.314 -15603.6 35.6798
21000 399.893 -15621 -4.04713
22000 400.788 -15637 -7.36938
23000 402.268 -15600.1 0.528193
24000 399.683 -15614.3 -14.9692
25000 397.376 -15620.1 40.1896
26000 399.782 -15609.1 17.4647
27000 400.91 -15624.4 -15.823
28000 399.352 -15614.5 38.9173
29000 398.511 -15612.8 -24.0852
30000 399.589 -15607.4 7.51157
31000 400.03 -15577.2 -32.0352
32000 399.816 -15552.9 -4.99502
33000 399.778 -15515.9 12.2315
34000 396.201 -15681.6 31.4506
35000 400.587 -15581.8 -20.5607
36000 398.739 -15604.5 -23.0552
37000 400.835 -15525.7 -2.3767
38000 400.262 -15549.7 4.30561
39000 399.992 -15574.4 1.34318
40000 398.756 -15660.6 16.4995
41000 401.449 -15552.9 -21.8926
42000 399.315 -15569.6 -8.84314
43000 401.051 -15573 17.741
44000 399.052 -15587.8 2.87348
45000 397.32 -15648.1 18.6297
46000 399.36 -15591.1 35.8213
47000 399.849 -15592.2 11.6761
48000 399.11 -15600.8 -1.94119
49000 401.457 -15498.5 -43.4042
50000 400.293 -15549.2 23.6497
51000 401.299 -15536.9 -3.50279
52000 402.789 -15499.4 42.1174
53000 400.471 -15545.4 -24.0618
54000 399.758 -15562.7 2.4424
55000 400.708 -15565.5 24.7348
56000 398.683 -15554.3 12.9443
57000 400.546 -15538.1 6.43032
58000 398.848 -15568.7 -12.7819
59000 401.976 -15552.8 14.3902
60000 399.52 -15600.5 -11.4459
61000 401.107 -15537.4 -13.2996
62000 400.184 -15595.9 26.0456
63000 397.454 -15628.2 16.0502
64000 401.498 -15501.6 -2.4792
65000 399.846 -15477.5 7.77587
66000 398.647 -15534.4 -10.2769
67000 398.403 -15571.8 -5.9654
68000 400.458 -15533.3 -17.5944
69000 400.952 -15539.7 22.7196
70000 401.288 -15588.5 9.21991
71000 397.772 -15630.8 8.96651
72000 399.165 -15558.2 -16.4309
73000 399.804 -15594.7 12.7503
74000 401.32 -15526.4 13.2316
75000 398.785 -15569.6 -5.50383
76000 399.579 -15568.5 -16.8938
77000 401.194 -15556.8 8.89794
78000 400.69 -15530.7 4.6836
79000 399.346 -15533.2 8.00354
80000 402.119 -15477.1 -2.04414
81000 399.386 -15567 24.3296
82000 400.96 -15493.6 5.87439
83000 399.307 -15503.4 -5.56756
84000 400.534 -15565.4 -16.7056
85000 402.506 -15494.6 -17.0313
86000 399.401 -15493.3 17.8442
87000 402.097 -15554 10.9432
88000 400.913 -15528.5 4.76073
89000 397.781 -15552.3 1.99574
90000 400.255 -15497.7 -0.251305
91000 398.33 -15541.3 4.45792
92000 399.424 -15535.4 -3.84971
93000 398.693 -15544.8 37.1443
94000 400.361 -15411.5 5.50542
95000 400.654 -15437.3 -13.4215
96000 400.421 -15443.4 28.3271
97000 399.087 -15497.9 -10.6051
98000 400.931 -15470.8 -3.9629
99000 398.511 -15508.5 39.1497
100000 400.78 -15440.8 -15.5562
101000 400.282 -15451.1 -18.6693
102000 400.444 -15483 21.3216
103000 399.381 -15488.1 -14.0502
104000 398.948 -15514.7 1.84168
105000 398.241 -15508.2 11.1153
106000 398.738 -15510.6 -5.32202
107000 399.96 -15527.2 2.0846
108000 401.046 -15525.6 15.4325
109000 399.848 -15496.5 5.86269
110000 398.079 -15576.3 17.2673
111000 400.651 -15450.4 2.83069
112000 400.162 -15446.8 -3.69772
