# Time-averaged data for fix 3
# TimeStep v_Temperature v_PotentialEnergy v_Pressure
2000 301.909 -14626.5 -1.61889
3000 299.472 -14644.1 10.1684
4000 300.05 -14644.3 -7.5487
5000 299.984 -14617.4 9.59075
6000 300.064 -14652.5 0.190976
7000 300.203 -14696.8 16.4308
8000 298.819 -14672.5 0.231501
9000 301.075 -14650.4 -6.35803
10000 301.905 -14612.9 -3.31524
11000 301.982 -14654.8 -4.48755
12000 299.213 -14611.9 5.318
13000 301.228 -14633.4 -2.4586
14000 298.598 -14665.3 3.73376
15000 300.383 -14672.3 1.90526
16000 300.317 -14611.6 6.63066
17000 298.223 -14641.9 -0.408572
18000 300.751 -14623.8 -11.4068
19000 300.113 -14603.1 2.15173
20000 301.077 -14616.5 -0.224585
21000 300.798 -14634.4 10.3261
22000 300.392 -14706.2 3.86517
23000 301.966 -14632.3 -1.12944
24000 300.986 -14597.6 -4.31398
25000 301.134 -14658.1 -0.716949
26000 299.964 -14659.7 1.89913
27000 300.458 -14673.9 -10.0915
28000 298.404 -14668.3 3.51944
29000 297.621 -14669.6 7.42279
30000 300.254 -14647.4 11.9733
31000 299.356 -14609.4 3.41848
32000 300.304 -14592.5 10.3053
33000 300.826 -14576.5 -7.86816
34000 300.337 -14636 9.75745
35000 300.535 -14677.7 2.95979
36000 299.462 -14656 10.8166
37000 299.709 -14600.8 -4.54775
38000 300.765 -14607.3 -1.52467
39000 299.75 -14692.5 -3.38784
40000 301.315 -14607.5 8.37962
41000 299.898 -14635.6 -11.0961
42000 299.531 -14672.1 12.5963
43000 300.454 -14651 -7.43212
44000 299.014 -14643.9 -3.52224
45000 301.336 -14625.8 6.90248
46000 301.366 -14661.5 -6.03129
47000 300.153 -14672.5 8.35205
48000 300.354 -14639.2 -8.08113
49000 301.695 -14606.5 -1.46284
50000 299.921 -14677.4 -6.39689
51000 300.925 -14632.7 2.70358
52000 299.489 -14648 2.8796
53000 298.899 -14657.5 -4.32242
54000 299.701 -14636 7.06241
55000 300.858 -14638.2 0.0665505
56000 300.282 -14656.5 -12.9113
57000 300.802 -14649.4 -7.40984
58000 299.758 -14647.7 5.41456
59000 300.291 -14631.1 0.304359
60000 298.821 -14649.1 4.45111
61000 300.662 -14653.2 8.32206
62000 300.715 -14645.7 -0.654456
63000 299.618 -14676.5 -5.09417
64000 301.062 -14652.7 0.457252
65000 300.875 -14660.3 5.1441
66000 299.349 -14708.1 1.4319
67000 300.341 -14719.6 -5.03969
68000 301.005 -14614.3 11.4603
69000 298.372 -14656.5 1.89499
70000 301.828 -14616.4 -4.09142
71000 300.351 -14675.5 8.59472
72000 298.331 -14680.4 3.48683
73000 300.236 -14617.2 -2.47287
74000 298.821 -14642.7 3.04415
75000 301.286 -14611.3 -3.1154
76000 301.356 -14615.5 1.95394
77000 298.902 -14650.6 2.43806
78000 300.865 -14681.9 5.14805
79000 298.883 -14666.5 11.0203
80000 300.843 -14614 -6.58148
81000 299.46 -14618.4 3.4926
82000 300.41 -14671.7 -10.7639
83000 299.617 -14689.8 -6.33678
84000 299.934 -14706.9 -3.38808
85000 300.421 -14640.1 8.11455
86000 301.459 -14671.6 3.33393
87000 299.129 -14701 -3.38249
88000 300.872 -14667 -10.0523
89000 301.139 -14651.9 1.48168
90000 300.106 -14648.9 1.38106
91000 298.924 -14655.6 21.7646
92000 300.648 -14627.9 -5.60509
93000 299.942 -14668.8 -12.292
94000 298.834 -14667.1 4.22288
95000 299.035 -14651.9 -11.4543
96000 299.33 -14647.9 14.6326
97000 301.683 -14619 -13.6637
98000 300.666 -14646.9 -4.91905
99000 297.334 -14646.3 13.6883
100000 299.523 -14695 -5.50347
101000 298.991 -14687.3 -1.74099
102000 301.305 -14690.5 -5.09117
103000 300.329 -14708.9 -5.3975
104000 298.969 -14693.8 3.49787
105000 298.856 -14715.9 2.43096
106000 302.769 -14641.6 10.8881
107000 299.331 -14613.7 3.62417
108000 300.747 -14619.4 -0.391218
109000 298.984 -14643.4 5.79524
110000 301.22 -14619.1 18.081
111000 300.176 -14662.2 -5.42265
112000 301.134 -14644.6 -1.82017
113000 299.28 -14657.3 -0.450294
114000 300.167 -14603.6 15.0305
115000 299.407 -14668.2 -3.87164
116000 301.634 -14606.7 -7.29953
117000 300.798 -14636.7 2.92781
118000 302.433 -14645.8 3.68178
119000 298.856 -14694.1 -5.11703
120000 299.842 -14681.1 0.79207
121000 301.255 -14665.1 -1.63327
122000 298.922 -14694.2 10.5012
123000 300.75 -14642.3 4.43882
124000 299.074 -14628.7 -2.57393
125000 299.433 -14619.6 11.0771
126000 300.806 -14610.3 1.19151
127000 297.468 -14679.2 -0.911007
