# Time-averaged data for fix 3
# TimeStep v_Temperature v_PotentialEnergy v_Pressure
2000 301.403 -14559.5 3.14433
3000 300.653 -14619.5 -5.63557
4000 299.431 -14657.5 -1.36501
5000 299.372 -14658.1 10.6377
6000 300.407 -14617.4 -10.6903
7000 300.238 -14596.8 10.1292
8000 300.649 -14646.6 -2.22551
9000 300.822 -14626.5 0.36826
10000 298.917 -14660.6 -3.60433
11000 298.098 -14675.7 14.7444
12000 299.56 -14647.2 -6.85427
13000 299.22 -14676.7 -9.37389
14000 300.215 -14642.6 2.55125
15000 299.34 -14679.9 5.25201
16000 300.747 -14618.8 3.63597
17000 301.722 -14633 1.00021
18000 299.712 -14620.8 4.10601
19000 299.1 -14664.8 8.66103
20000 300.196 -14668.3 1.08757
21000 298.041 -14676.7 -4.36902
22000 301.215 -14634 -1.02698
23000 300.444 -14683.9 -2.77107
24000 299.083 -14691.6 7.26468
25000 301.572 -14649.4 -7.63673
26000 299.183 -14654 3.18621
27000 299.638 -14687.1 3.44581
28000 300.329 -14637.7 4.33762
29000 299.81 -14668.7 -2.71106
30000 298.818 -14663.6 18.8276
31000 299.709 -14569.2 2.48063
32000 299.864 -14618.7 -2.69181
33000 299.624 -14681.9 -4.58596
34000 299.493 -14629.6 5.15726
35000 298.773 -14679 -3.07525
36000 299.336 -14676.3 5.55262
37000 300.288 -14665.7 -0.823598
38000 299.985 -14619.8 -3.28249
39000 301.055 -14617.6 4.06726
40000 301.656 -14595.2 -7.16733
41000 298.561 -14690 6.85993
42000 300.849 -14646.2 -4.88046
43000 299.569 -14672.3 8.38902
44000 299.963 -14623.9 1.62143
45000 298.952 -14674.9 2.69292
46000 299.389 -14649.4 -6.24228
47000 298.88 -14609.9 3.12091
48000 301.188 -14658.1 -11.6515
49000 300.016 -14668.5 0.26815
50000 299.584 -14667.8 10.038
51000 298.429 -14672.9 5.06513
52000 299.741 -14645.2 10.6532
53000 299.673 -14661.1 -12.0887
54000 298.377 -14675.8 1.36795
55000 298.28 -14710.2 10.8251
56000 300.171 -14620.5 8.69819
57000 298.839 -14696.6 -1.53425
58000 299.788 -14640.2 0.280786
59000 300.07 -14633.3 0.831569
60000 300.613 -14635.6 11.3706
61000 299.057 -14694.6 0.369231
62000 299.945 -14651.6 3.59593
63000 299.501 -14634.6 11.6127
64000 299.584 -14619.1 -4.72838
65000 301.403 -14607.7 1.60026
66000 299.963 -14688.6 -1.86189
67000 301.162 -14661 5.5364
68000 300.824 -14670.4 1.62368
69000 300.929 -14613 -1.1351
70000 301.105 -14624.6 -9.04508
71000 300.508 -14662.9 2.51673
72000 298.988 -14693.2 -9.06695
73000 300.109 -14645 6.68134
74000 298.863 -14714.6 -2.25908
75000 299.948 -14706.1 3.57075
76000 301.445 -14650.5 -0.807647
77000 298.629 -14697.2 -6.51845
78000 298.216 -14676 2.90668
79000 299.758 -14610.9 10.2215
80000 299.61 -14673.6 -8.31562
81000 300.86 -14623.5 5.61045
82000 299.294 -14641.3 1.78751
83000 299.511 -14658.6 -1.07615
84000 298.85 -14699.5 -2.34038
85000 299.915 -14684.5 2.56951
86000 300.987 -14624.1 -4.60543
87000 297.741 -14689.9 10.9125
88000 299.326 -14663.9 -4.4816
89000 299.528 -14630.3 8.49352
90000 301.25 -14639.6 -4.70413
91000 299.015 -14682.6 7.09482
92000 298.776 -14707.7 4.91262
93000 301.221 -14637.9 3.47839
94000 298.996 -14662.7 -0.375832
95000 300.759 -14646.2 1.4011
96000 301.23 -14629.6 -2.55705
97000 298.131 -14678.6 -1.46304
98000 299.543 -14671.5 -7.52447
99000 299.464 -14674.9 3.44756
100000 299.854 -14630.5 7.36122
101000 298.631 -14659 -2.19377
102000 300.186 -14593.6 -6.19685
103000 300.032 -14632.1 12.7569
104000 300.295 -14639.6 -0.567611
105000 299.19 -14669.6 -3.91603
106000 299.821 -14656 0.487703
107000 299.094 -14622.3 0.474917
108000 300.531 -14581.8 1.21767
109000 299.781 -14652.3 -1.09286
110000 296.406 -14690.9 11.404
111000 298.524 -14719.4 -9.11321
112000 299.76 -14646.5 11.0946
113000 299.575 -14666.3 -6.10773
114000 298.752 -14681.7 5.45806
115000 300.85 -14667.8 0.17709
116000 301.555 -14610.7 -4.23632
117000 300.357 -14632.7 -3.03045
118000 299.19 -14680.7 2.04333
119000 298.79 -14640.9 2.04171
120000 300.157 -14714.5 0.723309
121000 299.965 -14645.2 5.74888
122000 300.766 -14659.6 -10.12
123000 301.102 -14635.7 0.429299
124000 298.966 -14653.8 6.15173
125000 302.837 -14547 -0.74577
126000 300.157 -14628.4 0.159595
127000 301.339 -14698.5 -4.5995
128000 297.852 -14747.5 -2.70308
129000 301.133 -14612 8.18483
130000 299.039 -14651.8 7.3046
131000 300.554 -14685.1 -2.14958
132000 298.02 -14706.4 4.15857
133000 298.983 -14665.3 -11.4249
134000 301.144 -14650.5 2.74474
135000 298.319 -14678.6 -2.96612
136000 300.14 -14671.3 11.9019
137000 301.378 -14608.3 -10.1784
138000 300.563 -14621.7 5.48599
139000 301.069 -14655 2.3546
140000 299.38 -14631.6 -6.41781
141000 298.743 -14685.9 0.0382097
142000 299.969 -14649.2 1.76678
143000 299.322 -14709.5 7.47266
144000 299.726 -14687.7 5.06005
145000 299.304 -14660.2 6.46324
146000 299.925 -14659.7 13.3475
147000 299.19 -14651 -7.00708
148000 298.611 -14685.1 2.05436
149000 299.579 -14634.7 -12.5003
150000 299.939 -14649 16.6562
151000 297.81 -14692.3 -3.46035
152000 299.366 -14711.3 0.489829
153000 300.78 -14667.9 -3.89456
154000 300.608 -14715.9 -7.72205
155000 301.56 -14599.2 1.17364
156000 300 -14617.7 -4.41128
157000 300.61 -14611.8 7.16224
158000 300.609 -14615.3 6.35917
159000 300.401 -14602.3 -3.26803
160000 300.947 -14596.6 -6.97686
161000 299.136 -14652.5 9.04646
162000 299.338 -14652 -10.5552
163000 300.626 -14624 8.50756
164000 300.359 -14630.3 -12.0193
165000 300.026 -14670.8 0.238127
166000 301.543 -14636.2 -7.49566
167000 300.198 -14662.4 -8.9084
168000 301.085 -14603.9 10.874
169000 299.527 -14658.2 1.45863
170000 301.089 -14620.3 5.12889
171000 300.074 -14641.7 -11.975
172000 301.223 -14597.3 2.8328
173000 298.625 -14655.6 4.19973
174000 300.489 -14628.3 2.30659
175000 299.248 -14589 -3.53827
176000 298.116 -14664 12.495
177000 300.307 -14659.9 -17.5823
178000 299.826 -14627 7.36234
179000 299.294 -14683.7 -0.320151
180000 299.485 -14665.7 4.55773
181000 298.04 -14686.1 12.5141
182000 299.416 -14736.7 -12.125
183000 299.726 -14689.9 -6.35261
184000 299.854 -14675.1 3.20412
185000 300.145 -14676.9 8.31726
186000 300.663 -14645.5 -6.66161
187000 300.109 -14676.1 4.20544
188000 300.147 -14626.8 -5.15873
189000 301.935 -14603.5 -8.80632
190000 299.89 -14568.6 0.281819
191000 301.766 -14610.1 -9.77085
192000 300.228 -14579 4.78396
193000 301.008 -14655 -0.850018
194000 300.61 -14662.7 2.77117
195000 300.344 -14657.3 2.1184
196000 299.234 -14668.3 8.0451
197000 299.666 -14676.3 -8.73411
198000 300.629 -14602.6 12.7942
199000 301.053 -14697.2 -12.1955
200000 299.258 -14652.5 13.7279
201000 298.51 -14696.9 -1.42904
202000 300.03 -14662.2 -0.72726
203000 299.832 -14651.4 -2.99471
204000 299.542 -14670.3 12.9203
205000 300.15 -14625.3 7.3924
206000 298.68 -14650.4 -9.43118
207000 300.38 -14643 1.6181
208000 299.865 -14653.5 1.60631
209000 299.131 -14648.1 0.570146
210000 300.637 -14618.5 10.5754
211000 302.577 -14640.7 -6.76629
212000 299.73 -14662.5 4.57076
213000 300.095 -14606.3 -6.91575
214000 301.901 -14586.2 3.21277
215000 299.339 -14625.4 -2.82546
216000 299.368 -14614.3 0.795653
217000 299.893 -14641.3 10.7654
218000 299.256 -14655.9 -6.74168
219000 300.768 -14658.3 -0.404019
220000 299.132 -14655.1 -0.241304
221000 299.456 -14637.5 9.79698
222000 300.223 -14627.3 1.74864
223000 298.475 -14674.5 -5.22539
224000 299.409 -14653.9 6.59857
225000 301.995 -14642.8 -4.70851
226000 299.44 -14694.4 6.65741
227000 300.949 -14648.9 -5.53967
228000 301.17 -14648 1.70202
229000 300.417 -14616.4 5.64475
230000 298.962 -14674.2 5.82444
231000 299.536 -14632 10.9625
232000 297.164 -14696.9 -0.348583
233000 301.149 -14668.3 6.26399
234000 299.428 -14614.8 0.58222
235000 300.083 -14654.2 -2.9614
236000 300.244 -14649.7 14.4566
237000 300.832 -14686.2 -3.77229
238000 299.082 -14625.9 19.0648
239000 299.804 -14646 -3.88366
240000 300.385 -14668 11.3075
241000 297.701 -14703.9 2.40329
242000 300.281 -14710.5 0.276068
243000 300.12 -14666.9 3.16195
244000 299.91 -14624.5 0.496387
245000 298.038 -14680.4 2.99536
246000 299.462 -14662.1 4.08439
247000 299.316 -14671.3 1.97304
248000 298.968 -14680.8 5.18582
249000 299.05 -14676 4.87915
250000 298.828 -14633.8 -14.6992
251000 297.802 -14706 7.44919
252000 299.61 -14707.9 8.33635
253000 300.936 -14653.9 1.42862
254000 301.532 -14621.5 1.40517
255000 299.378 -14650.7 8.01968
256000 298.478 -14693.8 6.29381
257000 299.307 -14636.2 13.2659
258000 301.53 -14609.1 4.17466
259000 298.996 -14622.6 0.159191
260000 300.597 -14622.1 1.1313
261000 300.601 -14648.8 2.01842
262000 299.974 -14663.8 0.112156
263000 301.691 -14620.4 5.272
264000 298.287 -14666.3 0.131833
265000 300.102 -14641.1 2.78266
266000 299.781 -14643.6 -2.9792
