# Time-averaged data for fix 3
# TimeStep v_Temperature v_PotentialEnergy v_Pressure
2000 300.487 -17007.3 -35.7837
3000 299.726 -17058.7 14.8926
4000 300.366 -17082.7 -4.67842
5000 299.646 -17094.6 12.1585
6000 300.144 -17137.7 -3.46188
7000 300.352 -17164.2 -8.92985
8000 299.826 -17153 11.1232
9000 299.331 -17161.3 -19.4165
10000 299.973 -17110.7 14.3585
11000 300.612 -17109.6 -2.1224
12000 299.458 -17134.5 3.96572
13000 299.432 -17130.4 -8.78385
14000 299.373 -17144.3 -11.1703
15000 301.368 -17099 5.44014
16000 300.535 -17119.5 17.4833
17000 298.875 -17111.7 0.804561
18000 299.257 -17124.8 -13.5021
19000 300.758 -17088.2 16.3633
20000 301.042 -17113.1 -39.3693
21000 300.809 -17138.7 47.9505
22000 300.033 -17137.3 -6.11756
23000 300.989 -17104.3 38.8041
24000 299.311 -17108.9 -25.885
25000 299.241 -17132 18.1839
26000 299.11 -17149.4 16.8026
27000 301.152 -17098.3 -6.79651
28000 300.808 -17091.6 5.20659
29000 299.913 -17112.5 -23.6989
30000 299.231 -17146.4 5.90202
31000 299.729 -17071.7 -23.7
32000 299.935 -17115 17.2785
33000 299.311 -17132.1 -33.0736
34000 299.924 -17175.1 36.0938
35000 300.735 -17148.7 -1.01533
36000 300.5 -17130.1 5.91099
37000 299.766 -17085.2 -10.746
38000 301.051 -17074.6 -13.6761
39000 301.651 -17071.7 2.73875
40000 299.75 -17075.9 1.48523
41000 299.601 -17132.5 31.0188
42000 299.206 -17150.9 -15.5295
43000 300.159 -17119.7 5.54979
44000 300.059 -17118.9 2.13088
45000 299.302 -17126 6.11532
46000 301.164 -17084.1 -5.61471
47000 301.252 -17123.3 2.15286
48000 300.205 -17085.6 -22.6984
49000 299.832 -17100.6 11.3155
50000 298.624 -17149.7 -5.31571
51000 300.033 -17143.2 -8.36497
52000 297.809 -17188.7 21.576
53000 299.514 -17143.1 -11.2407
54000 300.004 -17102 36.4516
55000 301.161 -17076.2 -22.5253
56000 300.958 -17100 -1.72897
57000 300.244 -17158.5 10.867
58000 301.109 -17143.5 -35.8172
59000 299.585 -17101.7 27.0859
60000 299.12 -17113.6 -7.7544
61000 299.554 -17157.1 12.0164
62000 298.985 -17164.4 34.6939
63000 300.27 -17098.1 -38.3793
64000 299.788 -17172.5 17.0814
65000 301.157 -17149.2 -22.3111
66000 300.991 -17083.1 26.043
67000 300.125 -17083.5 -14.2383
68000 300.945 -17123.9 11.7188
69000 299.225 -17111.5 6.9989
70000 299.769 -17106.2 -8.28862
71000 300.502 -17096.5 12.817
72000 298.883 -17124.4 -12.5383
73000 299.347 -17129.6 49.4167
74000 299.925 -17104.5 -51.365
75000 298.251 -17122.8 42.381
76000 298.854 -17128.9 -14.2109
77000 300.93 -17102.9 14.0958
78000 299.096 -17110.2 0.553472
79000 299.966 -17142 18.9317
80000 299.002 -17166.3 -7.19861
81000 300.19 -17128.5 -0.261487
82000 298.883 -17172.8 -26.3368
83000 300.789 -17086.7 31.258
84000 299.041 -17186.4 3.90307
85000 300.177 -17190.8 -4.85069
86000 299.931 -17135.7 4.7988
87000 299.456 -17090.6 3.00235
88000 298.765 -17100.8 6.96588
89000 300.65 -17010.8 11.9419
90000 300.547 -17026.9 -5.24975
91000 301.429 -17068.9 27.6107
92000 300.939 -17078.6 -40.2956
93000 299.072 -17142.7 -4.56986
94000 301.128 -17156.2 20.3367
95000 299.913 -17102.4 -15.2016
96000 301.689 -17071.6 30.2951
97000 299.283 -17137.8 -39.8049
98000 299.824 -17107.9 29.7078
99000 299.917 -17094.8 -19.9518
100000 298.152 -17155.4 18.8377
101000 300.43 -17154.6 -17.1771
102000 301.552 -17097 28.5324
103000 300.048 -17104.8 -16.9735
104000 298.616 -17169.3 -18.1716
105000 301.415 -17145 23.9929
106000 300.141 -17157.1 -30.4934
107000 298.648 -17191.9 17.0203
108000 299.415 -17158.7 -31.6365
