# Time-averaged data for fix 3
# TimeStep v_Temperature v_PotentialEnergy v_Pressure
2000 263.61 -16646 -436.113
3000 299.155 -16297.4 -191.175
4000 300.366 -16406.7 -11.1059
5000 300.514 -16491.5 -62.4403
6000 300.199 -16514.4 10.4178
7000 300.483 -16534.6 29.2474
8000 298.826 -16543 -45.339
9000 301.016 -16514.1 -11.0726
10000 299.941 -16491.9 46.1184
11000 302.195 -16502.2 43.8668
12000 301.063 -16529.3 -91.6232
13000 299.728 -16579.3 5.14702
14000 298.188 -16610.5 78.7362
15000 300.681 -16575.1 -64.2559
16000 298.581 -16600.3 50.3433
17000 300.674 -16574.1 -65.6275
18000 300.708 -16508.3 78.847
19000 300.151 -16551.6 42.5674
20000 301.756 -16500.4 -161.529
21000 299.69 -16579.9 80.4466
22000 298.91 -16586.3 69.3159
23000 301.216 -16529.8 -17.7033
24000 300.925 -16516.7 -64.3044
25000 300.088 -16519.3 79.4992
26000 299.903 -16509 -23.4575
27000 302.134 -16552 -49.1321
28000 299.796 -16582 21.5929
29000 298.681 -16536 -26.9553
30000 300.259 -16532.3 69.6948
31000 299.941 -16540.5 -60.2415
32000 301.715 -16527.7 12.8712
33000 301.387 -16545 -10.4734
34000 299.069 -16498.9 26.5016
35000 299.627 -16548.9 -39.8584
36000 300.512 -16506.4 7.93854
37000 298.715 -16559.4 7.8137
38000 299.703 -16545.6 -44.3966
39000 300.844 -16573.8 100.926
40000 300.9 -16562 -34.3108
41000 300.613 -16588.8 -31.0257
42000 301.032 -16614.5 4.9651
43000 299.328 -16551.4 31.8642
44000 298.768 -16545.7 28.5323
45000 299.126 -16522.6 -41.6752
46000 299.083 -16537.9 53.0035
47000 301.587 -16503.5 32.4114
48000 300.057 -16508.9 -42.4593
49000 299.432 -16548.8 25.1937
50000 300.183 -16553.1 32.8752
51000 300.083 -16542.3 -62.6247
52000 301.036 -16543.2 37.2021
53000 299.889 -16525.2 6.47602
54000 301.689 -16510.1 13.5571
55000 299.555 -16506.9 -8.73842
56000 299.136 -16547.2 -34.0999
57000 300.558 -16552.6 18.0348
58000 301.638 -16528.9 24.1169
59000 300.334 -16547.3 -26.7106
60000 301.853 -16535.6 -9.28626
61000 300.518 -16586.1 2.11022
