# Time-averaged data for fix 3
# TimeStep v_Temperature v_PotentialEnergy v_Pressure
2000 428.444 -19105.8 -54.7929
3000 497.014 -17222.2 89.1511
4000 503.386 -16805.9 101.937
5000 499.543 -16770.3 -0.747765
6000 500.309 -16556 -104.249
7000 500.066 -16609.4 96.22
8000 501.457 -16594.5 30.2732
9000 499.83 -16445 -87.8658
10000 499.634 -16485.7 28.8605
11000 502.141 -16537.3 43.9718
12000 499.562 -16433.5 -114.782
13000 499.979 -16440.4 34.6949
14000 500.377 -16544.9 207.233
15000 499.598 -16487.1 -186.238
16000 499.695 -16582.9 161.184
17000 500.101 -16637.4 -79.1172
18000 501.714 -16461.5 88.2481
19000 501.487 -16435.5 -59.4512
20000 500.203 -16586.1 19.7412
21000 498.751 -16592.4 115.793
22000 500.013 -16364.1 -184.68
23000 497.997 -16499.3 -163.841
24000 501.349 -16623.4 -0.848981
25000 500.301 -16609.2 55.9194
26000 497.903 -16500.7 -9.41759
27000 499.458 -16524.8 -150.49
28000 499.629 -16743.1 215.595
29000 499.937 -16628.6 -110.361
30000 501.127 -16546.9 12.3835
31000 499.862 -16641.5 86.2512
32000 501.995 -16462.4 -82.2169
33000 500.655 -16522.5 -85.6651
34000 500.308 -16548.7 112.576
35000 499.375 -16588.1 -76.3391
36000 500.825 -16622.5 -4.00678
37000 500.523 -16608.9 13.8546
38000 498.713 -16611.6 -91.4299
39000 498.523 -16719.2 173.842
40000 499.22 -16586.5 15.0175
41000 500.896 -16459.8 -136.01
42000 501.813 -16680.4 135.106
43000 499.35 -16636.7 -107.918
44000 502.813 -16545.8 41.6468
45000 501.81 -16576.5 44.4487
46000 501.038 -16545 -1.888
47000 498.858 -16692.9 60.7575
48000 497.888 -16564.1 -143.317
49000 498.07 -16572 110.13
50000 497.644 -16539.1 -23.3009
51000 498.455 -16540.1 -22.0184
52000 500.174 -16608.3 35.1306
53000 501.165 -16448.1 -4.20581
54000 500.467 -16461.9 66.6585
