# Time-averaged data for fix 3
# TimeStep v_Temperature v_PotentialEnergy v_Pressure
2000 343.736 -20727.5 -344.905
3000 399.551 -19629.8 2.74625
4000 400.02 -19599.2 -90.5807
5000 400.325 -19568 50.7852
6000 398.978 -19445.1 -66.3183
7000 400.96 -19431.1 100.15
8000 401.218 -19361.5 -20.4621
9000 400.033 -19475.4 -51.3871
10000 399.666 -19396.3 -109.812
11000 399.543 -19530.9 93.8451
12000 399.061 -19433.3 46.7482
13000 401.121 -19441.3 -8.3494
14000 402.853 -19395.7 -7.92577
15000 399.78 -19389.9 65.533
16000 401.471 -19369.3 -128.548
17000 397.274 -19548.5 -13.9764
18000 400.741 -19453.2 37.9521
19000 400.858 -19449.3 50.9582
20000 398.569 -19542.1 -73.8604
21000 399.203 -19574 162.713
22000 400.82 -19458.6 -16.4452
23000 400.223 -19382.2 66.1671
24000 399.087 -19389.7 -82.9285
25000 400.729 -19435 16.5267
26000 400.214 -19422 117.015
27000 400.869 -19403 37.7005
28000 401.376 -19429.3 61.1022
29000 400.845 -19468.2 -174.728
30000 400.229 -19585.7 154.947
31000 400.283 -19500.1 -120.695
32000 399.255 -19536 130.498
33000 400.99 -19501.6 21.6546
34000 397.848 -19567.9 62.2491
35000 399.751 -19523.3 -100.866
36000 398.239 -19574.9 -22.3192
37000 401.394 -19509.9 83.9115
38000 398.323 -19393.1 -17.8523
39000 398.097 -19351 -72.6572
40000 402.804 -19417.3 56.6181
41000 400.837 -19318.6 -108.135
42000 399.618 -19315.7 -22.0398
43000 399.477 -19374.4 -45.5157
