# Time-averaged data for fix 3
# TimeStep v_Temperature v_PotentialEnergy v_Pressure
2000 400.077 -14525.5 -2.54051
3000 400.807 -14542.5 -4.96461
4000 399.801 -14549.4 8.45443
5000 400.012 -14577 5.93213
6000 398.366 -14541.7 7.99874
7000 400.538 -14537.7 -12.1515
8000 400.722 -14501.6 2.08926
9000 403.182 -14514 1.37894
10000 399.808 -14477.6 1.32875
11000 396.947 -14629.5 1.2772
12000 401.209 -14484.7 -0.372545
13000 401.949 -14449.8 -2.86577
14000 400.369 -14508.3 7.55033
15000 399.713 -14507.5 -0.790599
16000 400.188 -14498.6 0.42271
17000 399.864 -14557.4 15.2462
18000 401.961 -14478.9 -8.74532
19000 399.803 -14495.5 8.6094
20000 400.118 -14479.9 11.6533
21000 401.17 -14492 -9.49223
22000 400.536 -14506.6 12.8527
23000 400.031 -14451.4 -9.86449
24000 403.41 -14470.1 7.2264
25000 400.696 -14525.2 -8.34977
26000 401.145 -14512.1 15.3217
27000 400.744 -14452 -2.57324
28000 400.522 -14572.2 -1.2433
29000 399.513 -14550.4 -1.19684
30000 399.49 -14527.6 7.22645
31000 401.261 -14498.4 0.617339
32000 399.658 -14602.8 -8.05603
33000 399.952 -14508 -0.566838
34000 401.293 -14442.1 7.56548
35000 399.811 -14530.4 -7.95027
36000 399.769 -14481.4 5.45579
37000 400.345 -14536.7 7.26568
38000 398.722 -14510.7 -15.0474
39000 399.611 -14559.4 5.65572
40000 400.476 -14527.4 1.8737
41000 399.724 -14549 4.99795
42000 401.517 -14514.5 3.93166
43000 397.972 -14514.3 7.73495
44000 400.724 -14515.7 -3.90317
45000 400.764 -14510.5 0.383839
46000 399.464 -14468.4 -1.9473
47000 400.779 -14513.3 3.31785
48000 398.225 -14519.6 6.50998
49000 399.964 -14523.2 1.94174
50000 399.867 -14503.5 3.89784
51000 400.123 -14494.1 4.24724
52000 398.039 -14589.4 17.1259
53000 398.628 -14618.1 -6.68798
54000 399.169 -14536.7 15.3515
55000 400.508 -14467.5 -12.2905
56000 399.128 -14510.7 13.7767
57000 397.177 -14554.3 6.3633
58000 401.888 -14454.9 7.11426
59000 400.7 -14546.9 0.446511
60000 398.031 -14589.6 -4.87035
61000 399.958 -14563.7 8.37938
62000 399.27 -14495.2 14.7814
63000 401.391 -14474.9 -16.5078
64000 400.49 -14501.6 17.3416
65000 400.43 -14554.1 -11.3823
66000 399.906 -14510.3 -1.24897
67000 400.653 -14538.5 -0.758314
68000 400.039 -14527.4 0.850322
69000 398.966 -14548 8.73405
70000 400.084 -14530.4 -1.42809
71000 400.966 -14452.5 -20.964
72000 397.693 -14528 20.9505
73000 400.014 -14540.7 -1.79783
74000 397.404 -14552.3 2.10331
75000 401.345 -14536.6 20.1591
76000 401.358 -14514.9 -16.9297
77000 401.211 -14456.1 9.04709
78000 398.562 -14535.6 6.91637
79000 401.934 -14487.1 11.4357
80000 399.93 -14541.3 4.45298
81000 399.271 -14534.9 -0.662497
82000 397.871 -14548.2 0.673765
83000 399.793 -14498.8 0.900376
84000 400.447 -14522.7 -6.42542
85000 399.81 -14507.4 5.73474
86000 401.969 -14472.5 -11.6038
87000 399.158 -14537.4 -3.44467
88000 403.354 -14437.1 4.11856
89000 400.121 -14504.1 6.09368
90000 397.723 -14524.1 -6.81323
91000 399.501 -14510.6 -0.411016
92000 398.223 -14579.9 -2.39833
93000 400.114 -14529.4 3.05537
94000 401.171 -14458.5 -0.494525
95000 398.766 -14465.5 15.9157
96000 400.31 -14502.1 -7.51572
97000 399.449 -14453.1 18.5819
98000 399.521 -14497 -4.11153
99000 401.095 -14527.1 -6.54846
100000 400.326 -14444.4 13.9793
101000 399.493 -14528 -2.36912
102000 401.949 -14510 -0.312867
103000 399.569 -14490.3 1.51108
104000 402.212 -14468.1 -5.78801
105000 401.436 -14435.4 -0.876425
106000 399.599 -14519.6 -4.35513
107000 399.169 -14524.8 -0.571386
108000 399.895 -14492.8 -1.55437
109000 399.824 -14534.9 -3.84023
110000 398.952 -14520.9 -2.13525
111000 398.922 -14526.5 -12.9589
112000 399.023 -14560.9 7.30288
113000 399.036 -14594.7 -6.5023
114000 401.73 -14512 0.0391248
115000 399.12 -14509.6 9.42209
116000 401.501 -14509.1 -9.7305
117000 398.237 -14576 9.28903
118000 401.941 -14536.5 -21.0621
119000 399.155 -14501.6 -1.45675
120000 399.311 -14519.5 -9.83974
121000 398.393 -14632 7.60282
122000 401.665 -14535.5 4.95628
123000 396.485 -14494.4 11.2896
124000 402.257 -14452.8 -7.75567
125000 400.526 -14518.3 8.15374
126000 398.735 -14512.3 -11.2405
127000 401.033 -14428.1 14.8784
128000 400.877 -14464.8 -7.14415
129000 399.088 -14493.8 -10.4144
130000 399.698 -14461.9 14.4608
131000 401.135 -14508.2 -12.0166
132000 399.356 -14534.2 10.8758
133000 399 -14571.4 6.70112
134000 401.043 -14539.2 -14.4773
135000 399.878 -14543.2 3.05398
136000 400.065 -14530.2 8.08626
137000 398.81 -14629.4 -8.51661
138000 398.924 -14575.9 -7.37207
139000 400.975 -14456.3 7.44946
140000 398.42 -14514.3 1.90545
141000 402.152 -14502.4 -11.9318
142000 399.378 -14462.5 11.2425
143000 401.633 -14404.3 2.63468
144000 400.207 -14454.7 4.5789
145000 399.97 -14490.2 1.85392
146000 399.57 -14477.9 5.8631
147000 399.476 -14504.4 -16.5312
148000 399.588 -14520.2 20.9572
149000 402.445 -14499.6 -3.36246
150000 398.423 -14556 8.61115
151000 400.088 -14529.8 -14.6171
152000 401.238 -14464.8 -6.66375
153000 400.758 -14451.9 8.40888
154000 399.945 -14529.9 12.4377
155000 402.059 -14437.7 5.03511
156000 400.322 -14450 5.11799
157000 400.02 -14513.8 -10.5372
158000 400.394 -14542.9 -8.18094
159000 399.807 -14479.3 24.4356
160000 402.554 -14470.8 4.45474
161000 401.085 -14452 -0.221147
162000 399.982 -14468.7 5.82471
163000 398.947 -14527.1 4.9481
164000 398.984 -14597.4 4.91407
165000 398.805 -14547.2 -4.06141
166000 399.326 -14513.7 7.47918
167000 402.259 -14450.6 -6.36393
168000 399.859 -14494.7 0.0309916
169000 398.946 -14522.4 6.59076
170000 400.388 -14495.4 -0.477548
171000 400.938 -14485.2 -0.443933
172000 399.246 -14528 -7.96628
173000 400.741 -14494.1 14.6387
174000 398.542 -14589.4 -9.67089
175000 402.306 -14501.2 2.16486
176000 397.661 -14531.4 1.82407
177000 399.434 -14491.8 -4.12503
178000 398.607 -14550.9 -0.69711
179000 399.377 -14549 8.75817
180000 398.452 -14632.4 18.1244
181000 399.13 -14544.9 3.72033
182000 400.608 -14489.1 10.9817
183000 398.817 -14497.7 2.16372
184000 400.96 -14426.3 1.59665
185000 398.613 -14583.2 13.2096
186000 400.907 -14548.7 -22.8686
187000 399.376 -14582.3 14.9666
188000 401.168 -14525.4 -4.33755
189000 401.1 -14493.7 6.23912
190000 399.134 -14508.7 -0.536594
191000 397.596 -14514 17.2569
192000 399.322 -14574.5 6.01968
193000 399.837 -14520.3 6.28315
194000 400.023 -14531.5 -4.39082
195000 399.034 -14545.2 -0.787444
196000 400.398 -14465.6 7.89151
197000 399.87 -14543.1 1.25153
198000 399.403 -14512.3 8.10527
199000 399.16 -14526.7 -12.714
200000 399.319 -14514.8 -4.5263
201000 400.078 -14541.6 2.89384
202000 400.655 -14445.3 -10.017
203000 399.44 -14536.4 9.87884
204000 400.759 -14524 -0.275894
205000 402.423 -14419.3 -5.35933
206000 398.866 -14568.9 4.60998
207000 398.495 -14511.8 -1.76975
208000 400.056 -14537.8 1.85205
209000 398.437 -14575.3 18.5596
210000 401.42 -14565.3 -9.50449
211000 400 -14581.1 -11.9494
212000 398.763 -14590.3 11.0081
213000 397.474 -14610.6 -6.15006
214000 398.793 -14579.8 15.3706
215000 398.796 -14543.5 0.848464
216000 396.581 -14677.8 -0.274615
217000 400.161 -14491.4 4.12389
218000 401.296 -14452.8 13.5052
219000 397.316 -14509 3.25456
220000 400.545 -14547.7 8.55595
221000 400.467 -14538 -13.6936
222000 399.658 -14517.3 7.17189
223000 401.448 -14518.5 -13.474
224000 398.793 -14541 -5.28625
225000 399.718 -14534.5 1.55301
226000 398.718 -14555.4 -0.763921
227000 398.068 -14596.3 -18.9045
228000 400.249 -14528.3 14.2369
229000 398.724 -14608 8.71055
230000 396.414 -14580.4 5.357
231000 398.891 -14444.2 14.5769
232000 401.151 -14443.1 -17.4232
233000 400.353 -14493.2 17.6837
234000 401.136 -14542.3 -6.25404
235000 398.886 -14550.9 6.68441
236000 401.024 -14529.5 3.29449
237000 399.855 -14497 -3.19074
238000 400.356 -14499.5 17.8478
239000 399.659 -14476 12.1501
240000 397.519 -14542.3 4.02501
241000 401.227 -14527.1 -8.05367
242000 400.063 -14475.6 14.3668
243000 398.843 -14501.2 -9.31188
244000 401.941 -14527 0.410431
245000 399.07 -14482.4 -0.937431
246000 398.675 -14577.4 4.00012
247000 400.255 -14527.7 -3.8355
248000 399.311 -14545.4 -2.10149
249000 401.483 -14481.3 10.6145
250000 399.614 -14504.9 10.715
251000 398.515 -14532.6 -5.77642
252000 401.029 -14465.6 0.556128
253000 401.86 -14538.1 -4.88763
254000 400.02 -14525.4 12.4845
255000 398.222 -14572.9 6.18815
256000 398.944 -14502 -6.14075
257000 397.572 -14564.4 10.38
258000 399.111 -14507.8 4.30266
259000 398.576 -14521.5 -0.0253671
260000 400.7 -14531.1 0.0408316
261000 398.546 -14542.7 2.17237
262000 398.782 -14533 0.103379
263000 400.366 -14527 1.24972
264000 398.747 -14533.4 6.93598
265000 398.256 -14527.8 -6.03553
266000 398.958 -14556.9 4.53627
267000 400.585 -14422.1 -9.1581
268000 401.589 -14476.8 -12.1648
269000 400.301 -14556.7 -18.0457
270000 399.325 -14569.3 -16.3921
271000 398.36 -14522.1 16.3194
272000 399.568 -14490.5 4.09422
273000 401.927 -14502.8 6.01924
274000 401.419 -14469.3 -3.26267
275000 398.706 -14502.5 8.56079
276000 398.057 -14577.6 -6.83729
277000 400.305 -14497.4 6.44135
278000 401.414 -14540.1 3.52971
279000 400.167 -14536.9 -7.47065
280000 398.823 -14492.9 -2.82956
281000 402.003 -14479.2 -2.43573
282000 399.998 -14497.7 9.5419
283000 398.648 -14574.3 6.49739
284000 400.376 -14553.6 6.2565
285000 398.683 -14559.8 1.74177
286000 399.56 -14520.8 -6.43626
287000 398.334 -14567.7 -3.31166
288000 402.615 -14411.4 -7.85051
289000 401.266 -14437.6 2.19978
290000 400.614 -14501.8 20.7375
291000 398.634 -14524.6 11.4842
292000 396.185 -14588.8 -5.05142
293000 398.713 -14545.2 0.63502
294000 398.811 -14515.7 2.22072
295000 400.955 -14410.4 -1.10542
296000 399.858 -14519.2 -4.53237
297000 399.815 -14544.4 3.79721
298000 401.163 -14527.6 6.39066
299000 403.049 -14517.5 14.3224
300000 400.951 -14504.3 -8.19976
301000 398.728 -14493.7 20.4218
302000 398.967 -14530.5 15.5133
303000 400.564 -14456.5 5.21586
304000 400.098 -14533.4 -8.07556
305000 398.421 -14518 18.6533
306000 401.666 -14487.4 2.27773
307000 400.681 -14540.6 -4.10581
308000 398.377 -14585.1 0.113953
309000 398.844 -14584.9 -2.64918
310000 401.043 -14546.1 -5.53574
311000 401.524 -14467.3 -15.1517
312000 400.584 -14480.8 9.37956
313000 399.572 -14498.6 8.32797
314000 400.335 -14550.5 7.06468
315000 399.378 -14544.4 -1.92883
316000 397.327 -14621.4 -2.86339
317000 400.655 -14522 6.45439
318000 399.767 -14536.3 2.25338
319000 401.549 -14456.7 10.3063
320000 401.348 -14421.6 -14.0404
321000 399.244 -14538.7 0.713665
322000 397.414 -14538.9 8.49954
323000 398.69 -14557.2 5.39212
324000 399.006 -14477.1 -13.1611
325000 403.467 -14458.2 -11.2414
326000 400.687 -14456.4 -5.14463
327000 395.828 -14601.2 18.206
328000 403.165 -14463 3.64809
329000 400.69 -14473.3 -12.2552
330000 400.387 -14502.2 13.2444
331000 400.822 -14503.6 8.71532
332000 398.744 -14551.2 -1.7927
333000 399.125 -14638 10.3976
334000 400.148 -14550.6 -13.7316
335000 401.022 -14485.4 -2.77178
336000 398.132 -14599.2 12.9708
337000 398.545 -14554.6 -3.31036
338000 398.525 -14513.7 17.7759
339000 399.523 -14490.5 -1.71376
340000 397.804 -14547.3 -1.06837
341000 399.953 -14626.9 5.37985
342000 399.704 -14559.5 -9.99567
343000 399.081 -14501.5 13.5662
344000 398.894 -14531.3 -10.1489
345000 399.651 -14591.8 9.2634
346000 401.106 -14446 -4.3614
347000 401.223 -14507.9 -4.01444
348000 397.68 -14606.6 3.57117
349000 402.004 -14505.3 -2.47512
350000 399.723 -14546.6 2.57493
351000 400.684 -14536.9 -0.0533732
352000 401.651 -14513 -8.52938
353000 399.924 -14493.3 7.97117
354000 401.911 -14517.5 -5.2358
355000 402.041 -14471.6 9.40405
356000 398.928 -14573.4 8.93024
357000 399.017 -14551.9 11.9145
358000 398.159 -14474.7 5.85682
359000 397.545 -14517.3 2.15057
360000 400.88 -14500.7 15.5346
361000 399.338 -14511.5 8.26962
362000 400.653 -14503.4 -3.40821
363000 398.637 -14430.1 1.69704
364000 401.472 -14524.5 8.97915
365000 399.349 -14496 4.33538
366000 400.352 -14506.1 2.43307
367000 401.442 -14504.9 1.43813
368000 401.415 -14451 2.27259
369000 400.071 -14500 -2.28368
370000 397.429 -14552.7 2.56174
371000 400.254 -14492.5 19.3866
372000 402.53 -14447.5 -6.93186
373000 400.709 -14460.8 -5.02021
374000 399.976 -14510.2 7.42642
375000 398.322 -14561.5 8.97745
376000 399.936 -14525 -2.66361
377000 399.736 -14548 -9.30228
378000 402.875 -14439.2 20.8365
379000 398.569 -14501 -6.92713
380000 399.513 -14490.6 -3.28896
381000 400.776 -14541.5 2.3441
382000 397.763 -14545.5 9.38336
383000 401.213 -14426.7 8.82023
384000 400.146 -14494.3 -0.712928
385000 400.554 -14508.7 -9.47073
386000 400.543 -14524.6 7.53291
387000 399.878 -14557.7 4.41175
388000 399.25 -14545 1.23883
389000 400.872 -14506.9 5.07557
390000 401.604 -14471.8 -5.04574
391000 400.632 -14501.5 10.2808
392000 397.862 -14555.4 18.0327
393000 401.426 -14476.5 -18.2161
394000 397.884 -14531.9 6.91036
395000 399.896 -14492.6 -2.43608
396000 397.736 -14570.6 7.17257
397000 399.432 -14496.1 28.9631
398000 399.047 -14557.3 -12.7201
399000 398.977 -14515.8 20.8725
400000 398.372 -14610 -3.84034
401000 402.331 -14466.5 4.5648
402000 400.024 -14515.4 4.99737
403000 399.962 -14523.8 -15.6649
404000 401.475 -14497.7 11.2076
405000 398.571 -14527.1 -4.91782
406000 398.77 -14614.8 10.2178
407000 399.694 -14478.1 -5.16083
408000 402.707 -14482.4 -3.10476
409000 398.713 -14542.3 7.59287
410000 398.79 -14567.2 1.0089
411000 400.668 -14449.3 0.311834
412000 400.553 -14489.2 10.3393
413000 402.324 -14493.1 -18.8493
414000 401.074 -14510.3 -14.7711
415000 398.528 -14545.3 8.98195
416000 400.821 -14495.1 10.3276
417000 400.055 -14517.5 -3.30092
418000 402.497 -14444.5 4.85886
419000 399.553 -14501.9 5.36278
420000 398.029 -14492.1 10.8672
421000 399.093 -14483.5 -7.92603
422000 400.345 -14520.1 7.78739
423000 397.294 -14577.8 10.148
424000 398.913 -14546.7 -15.9128
425000 400.682 -14510.8 8.29654
426000 401.281 -14476 3.94965
427000 399.401 -14517.3 7.34563
428000 400.104 -14509.1 -4.22674
429000 401.449 -14490.5 -16.634
430000 403.044 -14461.3 -3.80953
431000 399.228 -14557.1 -9.69801
432000 397.579 -14556.4 6.83803
