# Time-averaged data for fix 3
# TimeStep v_Temperature v_PotentialEnergy v_Pressure
2000 501.233 -12474.9 6.72235
3000 500.323 -12291.8 14.5651
4000 499.306 -12234.6 2.5149
5000 501.356 -12297.2 -1.55085
6000 502.304 -12281.8 9.22546
7000 501.296 -12305.1 -8.64029
8000 500.159 -12383.2 14.0328
9000 502.241 -12303.7 -11.0945
10000 504.084 -12261.8 -4.13949
11000 498.344 -12423.5 6.1775
12000 499.05 -12321.3 6.93602
13000 497.489 -12383.2 7.54626
14000 496.335 -12404.4 14.5647
15000 499.351 -12312.1 9.39376
16000 502.406 -12232.5 -7.52993
17000 499.066 -12358.9 1.79172
18000 500.336 -12334.3 -5.80478
19000 499.755 -12310 11.6715
20000 498.863 -12422.2 0.371139
21000 501.673 -12423.1 -0.616125
22000 498.022 -12356.4 7.87103
23000 500.832 -12252.5 -3.06538
24000 500.251 -12240.1 -5.11084
25000 500.911 -12214.3 -7.20506
26000 504.075 -12178.3 5.27074
27000 499.724 -12430.6 14.1709
28000 499.425 -12381.8 -10.2609
29000 500.46 -12244.2 -17.7398
30000 502.009 -12422.8 6.27285
31000 498.944 -12390.1 -3.90916
32000 497.08 -12446.8 9.22563
33000 497.555 -12326.5 -2.92
34000 503.3 -12327 -0.396725
35000 496.814 -12371.8 -6.71351
36000 501.267 -12258.6 -1.08037
37000 502.392 -12230.8 6.37604
38000 500.551 -12345.2 -0.333833
39000 499.206 -12332.5 -10.006
40000 501.113 -12335.1 -5.98293
41000 498.747 -12283.7 8.48929
42000 498.424 -12500 -0.0807242
43000 503.768 -12315.8 5.35364
44000 498.651 -12260 -10.9397
45000 501.298 -12310.3 4.41397
46000 501.873 -12237 -4.69261
47000 503.96 -12229.5 -2.43218
48000 502.362 -12225.2 -11.9209
49000 501.382 -12367.2 -13.4762
50000 498.991 -12448.2 -0.0473838
51000 498.14 -12366.7 8.14012
52000 498.58 -12275.1 1.84255
53000 498.374 -12229.1 -8.50976
54000 500.625 -12247.2 3.00933
55000 501.74 -12235.9 9.7559
56000 501.125 -12262.8 6.90532
57000 500.883 -12315.1 0.888963
58000 501.291 -12196.4 12.8482
59000 500.839 -12292.7 -3.42084
60000 497.816 -12448.8 8.35037
61000 499.673 -12474.7 -11.0007
62000 499.122 -12279.7 14.0344
63000 501.458 -12344.8 1.42023
64000 498.945 -12422.5 4.02604
65000 499.156 -12375.2 8.04898
66000 498.948 -12362 -11.7056
67000 502.779 -12337.8 -7.20392
68000 498.947 -12312.8 16.3022
69000 498.403 -12377.6 18.2936
70000 501.159 -12302.3 -7.40255
71000 499.022 -12554 8.49947
72000 497.522 -12479.8 -6.9782
73000 502.597 -12288.3 -2.00074
74000 499.045 -12386.7 6.78021
75000 501.788 -12403 3.68523
76000 503.02 -12294.6 -3.13268
77000 500.673 -12271.7 6.69282
78000 501.853 -12382.3 7.7349
79000 501.372 -12334.9 13.3615
80000 501.023 -12284.8 17.5665
81000 500.841 -12335.8 -10.0167
82000 497.583 -12388.6 8.20892
83000 500.599 -12360.4 -3.27348
84000 497.283 -12398.8 13.3567
85000 500.778 -12307.8 -3.77206
86000 498.452 -12318 -8.42175
87000 498.269 -12365.2 7.28418
88000 501.488 -12293 -6.00527
89000 501.168 -12304.9 18.5119
90000 502.422 -12326.5 -8.24647
91000 500.999 -12343.8 -13.1923
92000 503.152 -12342.9 -9.03029
93000 501.812 -12378.4 15.0428
94000 497.675 -12468.3 4.2907
95000 499.79 -12294 6.18912
96000 499.758 -12304.2 8.26161
97000 500.145 -12421.7 -1.85077
98000 496.005 -12517.1 -3.2888
99000 499.808 -12218.8 11.7194
100000 500.616 -12192.5 5.51886
101000 499.582 -12346 1.48993
102000 501.383 -12396.9 8.3179
103000 498.115 -12448.3 -6.89245
104000 501.025 -12301.1 6.08953
105000 501.648 -12277.5 13.61
106000 501.669 -12348.4 2.71275
107000 497.72 -12297.2 8.60043
108000 499.626 -12369 7.47714
109000 501.035 -12421.6 9.18208
110000 499.878 -12285.9 7.65044
111000 498.022 -12440.9 14.0889
112000 500.851 -12349.3 -1.78804
113000 499.38 -12397.4 2.65153
114000 500.186 -12349.2 8.82054
115000 498.809 -12303.1 18.1733
116000 498.783 -12326.9 1.24725
117000 496.808 -12428.6 10.5488
118000 500.061 -12422.8 -9.41009
119000 499.294 -12338.6 -7.22574
120000 502.835 -12286.6 -9.79216
121000 498.783 -12361.8 10.6105
122000 500.662 -12184.2 -13.4734
123000 498.979 -12292.7 5.06737
124000 497.674 -12337.6 11.9713
125000 499.56 -12286.4 -12.1326
126000 498.857 -12388 3.40016
127000 500.855 -12348.2 19.1016
128000 499.744 -12360.5 -6.43757
129000 497.307 -12353 8.36843
130000 499.69 -12362.6 -0.576224
131000 500.738 -12274.7 6.08698
132000 497.124 -12370.6 4.38936
133000 499.88 -12322.6 3.62672
134000 500.6 -12281.4 -8.83037
135000 498.475 -12394.4 0.82499
136000 502.373 -12334 2.13192
137000 499.493 -12329.3 -0.0321344
138000 500.152 -12381.3 10.9842
139000 499.829 -12423.1 4.57818
140000 501.413 -12265.5 -4.59023
141000 500.132 -12301.3 -4.99669
142000 497.977 -12423.8 -1.17497
143000 499.159 -12311.9 7.12304
144000 499.419 -12299.1 0.838712
145000 499.229 -12326 5.67481
146000 501.477 -12276.2 -14.5554
147000 497.983 -12362.6 22.0045
148000 501.285 -12370.8 -3.42517
149000 501.342 -12248.2 0.0243078
150000 500.705 -12198.4 4.97937
151000 499.877 -12289.4 -15.2038
152000 501.381 -12209.7 -3.93862
153000 499.899 -12294.2 3.74728
154000 500.514 -12289.3 -6.35741
155000 503.076 -12297.4 -9.48714
156000 499.318 -12303.7 12.3423
157000 499.087 -12387.5 -9.06612
158000 499.853 -12366 4.29744
159000 499.699 -12439.6 2.07833
160000 502.513 -12344 -15.4058
161000 501.742 -12332.5 4.01227
162000 499.28 -12373.6 24.8969
163000 499.532 -12330.6 6.43906
164000 497.44 -12396.7 7.40823
165000 496.872 -12391.2 5.30997
166000 501.642 -12220.5 1.4416
167000 498.482 -12344.7 -5.12924
168000 500.189 -12281.5 -10.3183
169000 501.313 -12249.8 -7.0185
170000 498.75 -12254.6 -3.78313
171000 500.425 -12302 -3.01473
172000 496.611 -12370.9 15.3569
173000 502.957 -12240.7 -2.5253
174000 501.106 -12256.2 19.569
175000 499.572 -12210.5 -7.35896
176000 500.769 -12367.9 22.4848
177000 497.737 -12380.8 -10.9007
178000 497.499 -12404.3 0.805694
179000 500.067 -12298.2 9.49106
180000 500.152 -12205.1 2.59515
181000 496.854 -12379 -13.1906
182000 501.47 -12325.8 -5.41711
183000 500.269 -12303.3 15.8593
184000 501.138 -12220.2 -9.32406
185000 499.61 -12285.9 -0.67351
186000 499.436 -12203.5 18.5887
187000 500.548 -12306.3 -2.1488
188000 499.755 -12275.3 9.13391
189000 501.234 -12344.9 3.59793
190000 500.588 -12269.8 1.07238
191000 501.063 -12259.6 19.2289
192000 499.284 -12286.3 -17.0434
193000 501.257 -12324.5 26.6441
194000 501.762 -12235.4 -9.02733
195000 499.547 -12223.7 3.73807
196000 500.471 -12264.3 1.04569
197000 501.746 -12389.7 -5.38022
198000 502.896 -12311.2 1.80753
199000 498.354 -12452.9 2.13882
200000 502.855 -12183.4 -1.5375
201000 499.58 -12266.2 -7.36733
202000 499.67 -12394.8 5.52713
203000 499.097 -12431.4 2.06534
204000 498.543 -12420 -11.1033
205000 498.943 -12388.4 6.17953
206000 497.803 -12414.9 -10.1359
207000 502.973 -12262.8 8.96339
208000 502.7 -12287.1 -0.843246
209000 498.847 -12408.5 -0.372539
210000 497.868 -12394.5 -12.3168
211000 501.368 -12330.5 -1.19049
212000 501.807 -12282.1 -4.04586
213000 498.139 -12378.9 -1.98655
214000 503.964 -12281.8 13.8597
215000 498.75 -12391.2 0.151936
216000 502.247 -12198.2 1.52168
217000 498.671 -12392.2 6.64375
218000 497.438 -12416.2 6.40235
219000 500.089 -12307.5 8.73107
220000 496.063 -12515.2 11.7173
221000 500.473 -12292.8 -13.2324
222000 497.839 -12322.8 4.80117
223000 499.713 -12332.6 1.00521
224000 498.14 -12385.1 -7.17037
225000 498.943 -12344.8 6.0842
226000 499.423 -12340.9 -4.03096
227000 495.581 -12387.2 -2.15489
228000 498.518 -12335.3 -0.805813
229000 500.919 -12256.2 1.13605
230000 497.886 -12341.1 -6.41933
231000 503.047 -12253.9 -3.05216
232000 501.573 -12323.3 7.10384
233000 498.003 -12382.1 -11.9991
234000 498.924 -12393.8 0.989376
235000 498.313 -12364.1 -6.77451
236000 500.703 -12372.9 10.4726
237000 503.53 -12279.4 3.59597
238000 501.564 -12424.1 -4.55239
239000 501.486 -12261.5 -2.20967
240000 503.572 -12210 -12.5081
241000 499.711 -12295.1 11.2341
242000 499.039 -12271.7 0.377572
243000 501.378 -12270.5 -11.8006
244000 502.038 -12305.5 9.34094
245000 500.379 -12286.8 -4.26224
246000 500.86 -12257.2 -10.2058
247000 500.147 -12235.2 9.73499
248000 502.017 -12325.1 -14.1813
249000 497.707 -12396.6 -2.78872
250000 500.463 -12283.2 -14.1984
251000 499.36 -12470.8 13.1451
252000 498.981 -12410.6 7.80945
253000 498.984 -12395.5 -7.48485
254000 501.276 -12374.2 -9.71223
255000 500.638 -12283.2 -3.50241
256000 498.408 -12228.5 7.76221
257000 501.289 -12298.6 3.55173
258000 503.819 -12235.9 -20.1618
259000 499.491 -12246.3 5.51604
260000 500.873 -12157.4 14.3095
261000 499.387 -12277.6 7.93422
262000 500.934 -12284.6 4.52749
263000 501.66 -12294.8 3.38099
264000 501.171 -12244 9.54788
265000 498.258 -12345.2 -13.8615
266000 497.892 -12346.9 16.7085
267000 499.259 -12301.7 8.7234
268000 503.305 -12258.5 -8.52767
269000 501.262 -12291.1 -5.31119
270000 500.368 -12262.3 6.11821
271000 498.175 -12383.1 -7.40603
272000 500.466 -12277.9 -4.55505
273000 500.94 -12348.1 2.25273
274000 500.129 -12357.2 -4.22105
275000 499.696 -12363.1 -9.5275
276000 498.543 -12378.5 -2.40761
277000 501.027 -12305.6 -11.4192
278000 500.675 -12386.1 3.04486
279000 502.865 -12237 -0.572969
280000 498.695 -12348.8 4.83509
281000 500.412 -12367.2 7.87246
282000 500.525 -12263.7 -6.65994
283000 498.623 -12294.4 9.43081
284000 499.831 -12358.3 -20.5698
285000 500.575 -12386.7 8.90809
286000 500.696 -12481.9 8.48125
287000 499.781 -12543.6 5.38986
288000 498.319 -12418.9 7.70361
289000 498.187 -12401.9 -0.0341979
290000 497.648 -12393.3 4.086
291000 503.17 -12291.9 -7.62955
292000 498.552 -12309 3.90873
293000 497.708 -12275.6 5.82468
294000 500.56 -12202.9 13.4826
295000 500.699 -12285.1 1.00265
296000 501.268 -12364.4 4.09049
297000 499.062 -12302 -5.71795
298000 500.178 -12343.1 7.96842
299000 497.615 -12370.9 6.66679
300000 499.864 -12374.4 -0.0618581
301000 501.124 -12337 -27.6884
302000 498.782 -12337.8 17.7296
303000 499.262 -12333.3 -10.3755
