# Time-averaged data for fix 3
# TimeStep v_Temperature v_PotentialEnergy v_Pressure
2000 299.773 -16351.1 5.2719
3000 300.228 -16494.7 -4.07819
4000 299.718 -16573.8 0.95908
5000 298.575 -16608.6 5.00082
6000 300.023 -16676.5 -1.78546
7000 297.586 -16668.9 6.60451
8000 301.224 -16648 10.059
9000 299.188 -16665.7 21.231
10000 298.552 -16681.5 -10.3631
11000 300.677 -16666.6 0.29084
12000 301.037 -16685 -5.34492
13000 299.663 -16699.3 -3.79035
14000 300.307 -16633.2 -7.51899
15000 298.217 -16631.4 3.0096
16000 300.34 -16656.8 -2.54958
17000 299.292 -16698.8 3.27556
18000 298.361 -16662.6 0.584155
19000 298.241 -16669.5 9.53769
20000 301.993 -16621.5 2.18114
21000 299.822 -16609.3 -0.195085
22000 300.54 -16635.7 13.2098
23000 301.118 -16642.6 -11.0382
24000 299.592 -16675 7.54599
25000 298.679 -16684.1 6.32185
26000 299.688 -16610 22.5355
27000 300.061 -16640.8 -10.7224
28000 300.038 -16622.3 9.61202
29000 299.875 -16628 0.0730449
30000 299.069 -16655.4 -7.5791
31000 299.365 -16691.7 5.04589
32000 298.928 -16679.1 -2.58524
33000 300.798 -16614.6 9.56957
34000 300.32 -16584.5 3.29354
35000 302.487 -16565 -1.587
36000 298.794 -16612.4 -4.83782
37000 301.844 -16563.7 8.38438
38000 299.677 -16594.4 -9.38124
39000 301.345 -16659.8 0.7251
40000 300.457 -16676.1 3.35087
41000 299.502 -16680.2 -3.22747
42000 301.684 -16614.3 -3.63038
43000 299.497 -16652.6 12.4817
44000 298.976 -16644.5 -9.3112
45000 301.011 -16662.3 -1.82577
46000 298.354 -16665.1 -3.64301
47000 299.561 -16671 12.4227
48000 302.365 -16587.9 -7.39245
49000 301.758 -16654.9 4.70105
50000 300.464 -16636.8 -9.57788
51000 301.168 -16603.5 -0.72783
52000 301.077 -16585 5.35974
53000 300.858 -16607 -5.87021
54000 298.543 -16678.7 5.91672
55000 299.318 -16630.4 0.964989
56000 300.602 -16627.8 -2.46552
57000 299.058 -16673.4 -5.99263
58000 299.927 -16611.5 -2.83041
59000 302.276 -16603.9 7.97277
60000 301.296 -16571.2 -3.6194
61000 300.13 -16633 1.08978
62000 299.881 -16655.4 11.7787
63000 301.037 -16676.5 -5.86626
64000 301.87 -16658.2 -6.41175
65000 299.765 -16643.2 -10.5668
66000 297.311 -16691.3 20.9061
67000 298.819 -16669.7 -6.42921
68000 299.529 -16632.2 3.84566
69000 299.712 -16598.4 -5.36275
70000 298.806 -16656.3 5.56851
71000 299.153 -16656.3 11.743
72000 301.084 -16633 1.58341
73000 301.257 -16611.6 0.294689
74000 300.274 -16686.5 1.01077
75000 299.579 -16735.8 -1.59917
76000 299.579 -16742.3 1.32916
77000 300.781 -16608.2 -0.934445
78000 298.999 -16651.1 5.13373
79000 300.163 -16616.1 -1.72772
80000 298.349 -16610.6 14.5779
81000 298.266 -16650 -8.03653
82000 298.377 -16693.5 11.8159
83000 300.286 -16692 -5.70522
84000 300.021 -16689.7 -4.0598
85000 297.564 -16713.2 7.24132
86000 298.706 -16642.4 -5.16317
87000 300.433 -16691.5 7.30313
88000 299.725 -16682.7 1.42
89000 299.057 -16647.2 -3.67836
90000 300.792 -16599.2 3.38425
91000 299.019 -16613.6 -9.62738
92000 299.476 -16680.9 -6.59481
93000 298.802 -16693.1 -2.36099
94000 299.807 -16699.8 -4.95166
95000 300.493 -16664.1 12.5519
96000 300.463 -16655.6 -14.2894
97000 301.271 -16646.5 -1.01379
98000 301.225 -16682.3 16.5033
99000 297.718 -16686.4 -10.877
100000 300.435 -16667.8 -0.809264
