# Time-averaged data for fix 3
# TimeStep v_Temperature v_PotentialEnergy v_Pressure
2000 400.146 -14431.5 11.4651
3000 399.207 -14527.2 -17.4752
4000 399.038 -14526.6 13.7773
5000 399.395 -14553.6 -7.14677
6000 400.656 -14485.9 7.75914
7000 400.013 -14545.2 -11.8126
8000 399.223 -14518.3 8.29176
9000 397.716 -14572 0.613858
10000 399.698 -14584.2 -3.80252
11000 399.972 -14473.6 11.9404
12000 400.353 -14547.2 -4.01393
13000 399.11 -14487.4 1.21491
14000 400.561 -14490.3 2.59728
15000 398.541 -14501.2 6.32608
16000 398.581 -14537.2 -2.80586
17000 402.017 -14532.5 -3.07957
18000 399.468 -14554.3 -3.34368
19000 399.297 -14532.3 12.8054
20000 399.656 -14454.1 -1.68671
21000 402.854 -14484.9 1.45892
22000 400.826 -14485.4 0.114277
23000 401.41 -14423.9 -10.1073
24000 401.265 -14439.5 7.54287
25000 402.68 -14508.9 -6.00038
26000 401.297 -14502.7 10.7308
27000 399.28 -14502.9 -4.2617
28000 399.578 -14504.9 2.05833
29000 398.444 -14503.9 4.00704
30000 400.965 -14465.2 15.3886
31000 399.357 -14519.4 -16.6902
32000 400.225 -14499.4 7.04159
33000 399.526 -14493.3 -3.53512
34000 400.692 -14472.4 -11.6461
35000 398.49 -14507.5 15.4636
36000 397.191 -14548.7 11.722
37000 402.041 -14451 -1.81308
38000 399.246 -14566.6 -2.89578
39000 399.206 -14570.1 4.58978
40000 396.229 -14637.4 -0.738699
41000 399.444 -14574.2 5.05577
42000 398.093 -14622.8 8.87041
43000 400.022 -14568.8 -11.3393
44000 396.999 -14603 19.2816
45000 398.314 -14601.4 -14.3846
46000 399.047 -14489.9 14.7331
47000 401.58 -14509.8 -7.87941
48000 401.811 -14456 -1.18486
49000 401.124 -14491.1 18.8122
50000 399.596 -14576.2 7.07828
51000 400.347 -14480.9 -4.02776
52000 401.144 -14455 8.78153
53000 399.907 -14529.8 -8.1361
54000 398.671 -14535.4 11.603
55000 401.662 -14428.6 3.63378
56000 398.687 -14543.7 -11.6597
57000 400.074 -14515.9 10.0585
58000 400.771 -14529.6 -0.780623
59000 398.631 -14559.3 -12.3957
60000 399.97 -14497.5 3.90056
61000 399.952 -14520.5 -9.38786
62000 401.396 -14478.6 3.87228
63000 401.02 -14599.2 -6.75086
64000 399.469 -14558.7 7.56535
65000 401.263 -14512.4 -15.5832
66000 402.173 -14458.8 3.02221
67000 401.401 -14503.6 -7.584
68000 400.523 -14479.3 0.664796
69000 398.203 -14539.2 9.73862
70000 399.099 -14513.6 -2.34151
71000 398.872 -14532.6 17.5246
72000 400.551 -14552.7 -5.41123
73000 399.449 -14505.2 16.9272
74000 400.422 -14537.5 -5.53213
75000 402.312 -14475.8 -3.95152
76000 399.912 -14479.2 11.5037
77000 397.459 -14553.8 -3.01484
78000 400.015 -14518 0.590158
79000 399.373 -14488.5 8.50634
80000 401.282 -14481.4 2.46215
81000 400.982 -14525.2 -5.17671
82000 401.703 -14519 8.25236
83000 401.862 -14505.9 -12.8752
84000 400.722 -14465.1 -11.182
85000 400.966 -14432.1 -1.62053
86000 402.154 -14485.8 -1.02674
87000 399.471 -14505.3 9.88212
88000 399.583 -14546.1 -7.70816
89000 399.91 -14541.2 3.1255
90000 397.63 -14505.4 -1.87187
91000 398.547 -14580.3 -4.68941
92000 400.349 -14522.6 10.8609
93000 399.04 -14541.3 5.48514
94000 399.766 -14519 -6.25464
95000 399.762 -14537.5 -1.62767
96000 398.245 -14498.2 18.8769
97000 398.202 -14483.1 8.81719
98000 402.415 -14459.4 -12.8805
99000 400.043 -14543.7 -6.19989
100000 400.296 -14540.5 -2.50095
