# Time-averaged data for fix 3
# TimeStep v_Temperature v_PotentialEnergy v_Pressure
2000 301.286 -17588.1 40.8058
3000 299.451 -17697.9 17.5886
4000 300.342 -17810.3 -19.2896
5000 300.195 -17811.6 -24.7745
6000 299.978 -17808.3 -19.0209
7000 300.228 -17798.2 23.3263
8000 299.259 -17810 23.3171
9000 299.463 -17816.7 7.21741
10000 301.903 -17756.3 -37.8991
11000 300.323 -17759.9 35.924
12000 300.705 -17724.5 19.1805
13000 299.996 -17782.1 -24.3043
14000 298.577 -17774.8 -27.0243
15000 299.464 -17797.3 21.9681
16000 298.635 -17807.9 38.3546
17000 299.708 -17803.4 -2.94506
18000 299.525 -17812.3 -13.8298
19000 299.682 -17839.2 -14.7652
20000 299.207 -17828.1 -7.67574
21000 299.657 -17792.3 4.94083
22000 300.204 -17803.6 14.645
23000 297.937 -17888.1 11.4167
24000 299.851 -17780.9 5.3701
25000 299.612 -17811.6 -9.1354
26000 299.144 -17770.9 -23.7609
27000 299.107 -17701.6 39.5614
28000 300.097 -17749.6 6.07912
29000 300.611 -17748.7 -26.3567
30000 300.743 -17709.1 19.4965
31000 298.976 -17737.5 13.9308
32000 299.845 -17725 3.34352
33000 299.225 -17728.7 -13.9169
34000 302.13 -17681.3 -19.6025
35000 300.194 -17720.6 -3.66909
36000 299.724 -17777 0.309136
37000 300.35 -17797.1 8.5274
38000 300.884 -17732.7 -16.5395
39000 301.212 -17680.3 14.9158
40000 300.632 -17721.2 13.6506
41000 301.461 -17719.4 -17.9019
42000 300.928 -17727.8 8.40547
43000 299.042 -17730.7 8.73555
44000 298.163 -17814.1 -9.36884
45000 299.349 -17771.2 19.9247
46000 302.246 -17723.6 -9.29047
47000 299.374 -17777.6 -30.7116
48000 299.501 -17778.8 9.31985
49000 298.752 -17814.9 7.21795
50000 298.883 -17810.3 15.3159
51000 301.321 -17773.7 -40.653
52000 299.773 -17757.7 -8.45126
53000 300.097 -17729.9 8.64368
54000 299.852 -17754.9 29.2669
55000 298.812 -17718.6 -6.24298
56000 299.017 -17767.3 11.2233
57000 299.742 -17759.8 2.74542
58000 301.101 -17698 18.6681
59000 302.061 -17706.2 17.598
60000 299.532 -17775.7 -28.9914
61000 299.886 -17741.6 5.71816
62000 298.74 -17743.6 7.14709
63000 300.919 -17724.8 3.8138
64000 301.197 -17767.5 16.8594
65000 299.217 -17803 -20.0732
66000 298.909 -17779.9 6.31186
67000 298.6 -17750.8 5.09649
68000 299.577 -17749.3 28.9353
69000 299.957 -17708.7 2.18295
70000 299.152 -17728.7 2.36386
71000 299.8 -17713.5 -0.881719
72000 300.1 -17696.3 -14.267
73000 299.289 -17730.3 -11.9249
74000 300.007 -17775.5 20.4947
75000 299.246 -17746.4 19.608
76000 299.635 -17753.4 31.64
77000 298.175 -17768.6 -1.82411
78000 300.184 -17710.6 -24.6858
79000 299.786 -17692.7 -4.05493
80000 299.723 -17739.1 -8.93358
81000 300.679 -17695.4 -1.20709
82000 301.427 -17709.6 -4.68567
83000 299.777 -17664 -7.5469
84000 298.756 -17729.2 11.496
85000 299.685 -17763.1 3.95452
86000 300.447 -17737.5 -5.82694
87000 300.857 -17673.8 0.599789
88000 300.726 -17665 -15.4363
89000 302.071 -17673.6 -16.94
90000 300.994 -17681.2 34.9577
91000 300.442 -17714.5 -7.99455
92000 299.398 -17670 -10.4444
93000 300.468 -17720.4 7.87425
94000 299.843 -17731.1 15.4021
95000 301.587 -17677.9 -12.749
96000 298.675 -17702.4 19.7452
97000 300.573 -17672.1 -10.8553
98000 299.705 -17697.7 12.5075
99000 297.824 -17731.9 29.5229
100000 301.394 -17680.3 31.9052
101000 300.422 -17701.4 -22.504
102000 300.125 -17689.9 -25.9384
103000 300.688 -17680.1 13.9398
104000 299.305 -17691 15.835
105000 301.403 -17658.4 18.8403
106000 299.369 -17758.3 -20.3459
107000 299.318 -17748 12.8183
108000 299.561 -17699.5 -5.06945
109000 297.899 -17718.4 -18.6447
110000 300.691 -17728.3 5.97985
111000 299.314 -17653.8 25.5126
112000 301.504 -17644.9 7.80465
113000 299.653 -17712.3 -11.2546
114000 299.008 -17742.8 -1.05234
115000 300.667 -17691.6 -0.114306
116000 299.678 -17718.8 9.45353
117000 300.574 -17687.1 -9.43389
118000 301.185 -17679.2 -19.0172
119000 299.793 -17722.9 6.79396
120000 298.752 -17708.5 15.7853
121000 300.536 -17726.2 -17.4741
122000 301.215 -17686.1 4.15672
123000 300.405 -17690.9 -2.6871
124000 298.703 -17785.4 -10.7943
125000 299.506 -17757.1 33.0962
126000 300.952 -17780 -4.64448
127000 300.702 -17710.9 0.103831
128000 300.839 -17741.9 -8.89952
129000 300.756 -17774 2.48225
130000 299.335 -17735.2 -7.14616
131000 298.65 -17794 8.482
132000 299.98 -17742.6 -11.2717
133000 298.934 -17788.4 15.1873
134000 299.787 -17807.4 -6.77831
135000 298.715 -17790.8 1.24527
136000 298.929 -17726.8 -8.71431
137000 299.651 -17689.7 15.9709
138000 300.128 -17689.9 -7.3362
139000 300.451 -17759.2 -9.7953
140000 299.539 -17728.3 29.8366
141000 298.175 -17759.3 34.0975
142000 299.706 -17752.3 -1.97282
143000 297.93 -17796.8 -38.0164
144000 299.744 -17734.9 0.913085
145000 300.121 -17750.1 -3.12455
146000 300.83 -17759.9 40.2519
147000 299.21 -17708.3 -8.43193
