# Time-averaged data for fix 3
# TimeStep v_Temperature v_PotentialEnergy v_Pressure
2000 401.824 -15858.3 -7.22715
3000 399.123 -15839.9 38.7031
4000 400.606 -15798.9 -7.89376
5000 399.431 -15828.2 -5.62063
6000 399.57 -15830 8.18374
7000 400.593 -15769.5 -11.6068
8000 399.771 -15829.5 20.2733
9000 399.153 -15844.5 6.17217
10000 397.816 -15786 17.0607
11000 399.708 -15821.1 19.2012
12000 400.825 -15802 -15.9911
13000 397.289 -15821.7 15.3468
14000 399.801 -15797.8 -17.9414
15000 398.555 -15759.6 -29.7028
16000 402.128 -15689.3 43.3467
17000 398.113 -15813.4 18.6965
18000 398.616 -15773 24.3151
19000 398.156 -15831.4 -12.3095
20000 399.053 -15765.7 -14.2506
21000 401.445 -15722.4 3.52766
22000 400.929 -15754.8 44.0581
23000 398.88 -15792.1 -49.556
24000 396.292 -15784.5 11.4955
25000 400.092 -15708.4 -41.1279
26000 399.364 -15733.9 43.694
27000 400.889 -15686.9 20.2272
28000 399.85 -15719.8 0.537417
29000 400.549 -15659.3 -17.8452
30000 399.03 -15746 4.03987
31000 399.409 -15712.7 34.494
32000 401.201 -15708.3 -27.255
33000 398.863 -15775.2 22.4773
34000 401.755 -15633.9 -26.145
35000 401.09 -15687.4 8.85363
36000 400.427 -15679.9 -18.6189
37000 400.912 -15704.6 32.3942
38000 399.364 -15706.1 -32.4278
39000 401.178 -15673.1 45.7561
40000 401.126 -15645.9 -16.7426
41000 401.078 -15680.5 33.4681
42000 400.234 -15641.4 -28.5691
43000 401.444 -15656.3 0.13315
44000 399.519 -15616.4 -7.26976
45000 401.896 -15660.7 -9.75472
46000 398.542 -15652.9 9.36817
47000 397.867 -15696.4 -16.9163
48000 399.012 -15678.7 23.3571
49000 399.597 -15667.5 39.3326
50000 398.538 -15653.3 -6.41616
51000 400.304 -15681.3 -5.34797
52000 400.549 -15678.4 11.0814
53000 399.429 -15716 -3.07982
54000 401.899 -15600 -11.4584
55000 399.133 -15755 20.0016
56000 400.559 -15667.9 -34.6022
57000 400.9 -15605.4 -5.02934
58000 402.769 -15602 16.3287
59000 398.877 -15704.3 -19.2786
60000 399.833 -15627.2 11.3355
61000 399.745 -15631.4 26.972
62000 397.296 -15641.4 -6.32703
63000 398.769 -15667.6 7.75963
64000 397.918 -15675 -17.97
65000 399.853 -15642.7 -7.84408
66000 398.23 -15714.3 11.033
67000 398.544 -15716.3 -5.20123
68000 397.486 -15760.9 15.642
69000 399.017 -15698.6 -2.59921
70000 398.229 -15717.8 -21.941
71000 399.176 -15663.3 -9.71338
72000 400.582 -15662.5 23.7123
73000 399.411 -15658.1 6.81531
74000 399.53 -15665.6 8.75687
75000 398.245 -15710.7 -0.856819
76000 400.46 -15656.3 -12.6095
77000 398.906 -15703.8 -4.08072
78000 399.412 -15665.6 4.73432
79000 399.239 -15637.6 10.2982
80000 400.965 -15596 5.34182
81000 399.385 -15575.2 8.36501
82000 398.36 -15584.2 1.14556
83000 399.974 -15585.7 0.343534
84000 400.241 -15598.1 14.097
85000 400.464 -15623.9 14.9392
86000 400.31 -15610.7 -9.33834
87000 398.77 -15606.9 -3.03995
88000 402.565 -15566.6 -1.17428
89000 400.397 -15590 8.43008
90000 400.461 -15555.7 -0.770653
91000 399.324 -15532.4 -18.4615
92000 400.488 -15584.7 -9.3222
93000 401.183 -15620.8 -15.9031
94000 400.352 -15604.2 -22.9333
95000 399.421 -15551.1 51.8762
96000 399.478 -15606.1 9.01559
97000 398.203 -15550.2 -24.4426
