# Time-averaged data for fix 3
# TimeStep v_Temperature v_PotentialEnergy v_Pressure
2000 301.444 -14610.8 -1.2935
3000 299.93 -14625.5 -1.36208
4000 299.997 -14630.2 8.62551
5000 299.45 -14647.1 2.94547
6000 299.587 -14676.3 2.99021
7000 300.893 -14585.4 2.62775
8000 298.26 -14628.1 -12.7043
9000 298.737 -14671 13.3527
10000 298.596 -14694 13.3705
11000 301.067 -14627.6 -4.72609
12000 299.36 -14638.5 -0.346887
13000 301.27 -14594.3 -2.3073
14000 300.003 -14637.4 -0.525946
15000 300.344 -14610.8 -2.45558
16000 298.811 -14630.3 10.5401
17000 300.28 -14632.7 -1.74879
18000 300.246 -14675.3 -2.13846
19000 300.563 -14583.2 3.97953
20000 301.308 -14657.9 -4.87097
21000 300.246 -14643.2 15.8301
22000 300.741 -14610.4 -14.8102
23000 298.719 -14649.2 6.93019
24000 301.523 -14592.3 2.52846
25000 302.133 -14624.9 3.75283
26000 298.399 -14656.3 -12.5616
27000 299.125 -14681.9 6.45598
28000 298.046 -14644.7 14.0909
29000 300.306 -14654.5 -10.5231
30000 300.425 -14675.4 7.78188
31000 301.269 -14646.4 -8.82447
32000 298.381 -14662.5 5.83669
33000 299.788 -14672.2 -11.3153
34000 299.621 -14643.1 10.3488
35000 300.861 -14628 6.09168
36000 299.992 -14622.6 -3.41769
37000 299.08 -14667.1 -0.285385
38000 298.712 -14701.4 0.652907
39000 298.534 -14673.9 3.17
40000 298.738 -14688.7 -8.10448
41000 300.235 -14657.9 6.18103
42000 299.413 -14641.5 6.44833
43000 299.608 -14608 0.648229
44000 300.264 -14629.5 -1.25325
45000 300.595 -14678.9 8.48969
46000 300.713 -14662.8 -8.05389
47000 298.418 -14663 1.00235
48000 298.107 -14715.6 4.70797
49000 299.067 -14682.3 7.76739
50000 300.979 -14617.5 -6.26542
51000 299.182 -14634.6 -2.73196
52000 298.299 -14666.3 -10.0566
53000 300.786 -14615.5 15.4785
54000 298.594 -14655.9 3.08534
55000 301.11 -14637.1 0.0724755
56000 300.567 -14632.9 1.00524
57000 300.446 -14627.5 -2.57059
58000 300.588 -14617.5 -7.17489
59000 298.952 -14663.8 8.58206
60000 299.755 -14631.9 8.47119
61000 301.051 -14683.5 0.395426
62000 300.406 -14628 0.930591
63000 300.286 -14621.3 7.48542
64000 301.82 -14612.5 -9.01025
65000 300.444 -14676.9 13.9727
66000 301.905 -14643.2 -9.7285
67000 299.601 -14656.9 -0.327124
68000 300.024 -14653.1 2.60608
69000 300.61 -14655.3 -2.23592
70000 300.128 -14666.1 15.2784
71000 300.27 -14656.6 -5.17569
72000 300.445 -14651.6 -8.32522
73000 300.144 -14605.8 8.39504
74000 301.153 -14627.9 2.65088
75000 299.4 -14665.5 -3.55961
76000 299.993 -14674.6 5.99281
77000 300.656 -14642.8 4.52199
78000 301.122 -14653.2 -12.8319
79000 298.579 -14660.2 7.59637
80000 298.781 -14676 -3.23915
81000 299.206 -14653.7 -8.08505
82000 299.338 -14654.2 11.0921
83000 301.537 -14650 -9.23265
84000 299.258 -14664.1 9.52632
85000 301.33 -14624.4 -0.0865267
86000 300.62 -14614.9 -9.0936
87000 300.911 -14645.5 -7.5047
88000 298.08 -14699 8.90202
89000 301.908 -14651.4 -5.97118
90000 300.997 -14632.8 3.58614
91000 300.348 -14666.5 11.8452
92000 300.645 -14629.2 -9.20398
93000 300.104 -14623.3 -1.73022
94000 299.654 -14691 9.39833
95000 299.897 -14701.1 1.91479
96000 300.087 -14622.4 1.7965
97000 301.247 -14606.8 6.63095
98000 298.595 -14671.8 7.16783
99000 299.572 -14690.8 -6.91115
100000 300.537 -14695.2 2.11156
101000 300.13 -14600.9 -3.4241
102000 300.235 -14640.3 20.3901
103000 301.582 -14643.8 -2.19317
104000 300.133 -14675.9 -8.22971
105000 298.725 -14660.8 13.1236
106000 300.491 -14678.9 -9.555
107000 300.591 -14640 8.79481
108000 299.995 -14679.6 -0.711295
109000 299.473 -14667.6 -10.3855
110000 301.214 -14621.6 15.7985
111000 300.456 -14665.5 0.620256
112000 298.654 -14707 3.77124
113000 297.821 -14701.1 1.23909
114000 300.036 -14655.9 1.83538
115000 299.516 -14570.9 3.99528
116000 300.979 -14597.2 -2.92946
117000 300.225 -14646 7.21376
118000 299.714 -14661.9 -3.06008
119000 301.619 -14640.4 1.85682
120000 300.003 -14650.6 -2.82173
121000 300.196 -14626.6 1.94904
122000 300.453 -14678.1 2.70753
123000 300.879 -14668.7 -6.94473
124000 301.389 -14631.2 -5.52446
125000 298.458 -14636.8 3.13136
126000 300.325 -14618.6 6.82004
127000 299.668 -14660.9 -3.32045
128000 300.95 -14622.2 -1.73188
129000 301.261 -14628.6 -3.65285
130000 299.858 -14646.8 1.45547
131000 298.826 -14683.5 -4.22433
132000 300.093 -14665 8.51139
133000 299.376 -14658.1 1.27974
134000 298.039 -14687.3 -11.5244
135000 300.901 -14617.4 -4.65168
136000 300.364 -14650.5 10.6854
137000 299.428 -14646.7 -0.815318
138000 299.878 -14645.3 -6.60839
139000 301.202 -14665.1 -3.95639
140000 298.585 -14665.3 7.8696
141000 298.82 -14631.5 3.31156
142000 298.919 -14647.8 -3.42755
143000 299.637 -14632.6 -5.4987
144000 298.695 -14621.1 3.54276
145000 300.315 -14647.4 5.84123
146000 301.693 -14628.5 0.265285
147000 298.603 -14700.8 -2.99855
148000 298.543 -14665 14.8509
149000 298.968 -14690.2 -3.75334
150000 298.24 -14678.8 4.15833
151000 299.651 -14677.8 -9.0203
152000 300.345 -14619 4.15875
153000 299.336 -14679.5 -8.64138
154000 300.278 -14689.5 0.581586
155000 301.668 -14606.4 2.46343
156000 298.776 -14681 11.5758
157000 301.601 -14611.9 -13.5531
158000 299.365 -14613.1 6.93776
159000 300.59 -14603.5 -3.10589
160000 300.217 -14600.8 0.694181
161000 301.222 -14618 5.00828
162000 299.678 -14650.2 -6.31677
163000 299.635 -14661.7 6.81009
164000 299.832 -14666.4 4.33899
165000 301.932 -14619.7 -0.282092
166000 299.24 -14662.5 -6.64431
167000 300.05 -14641.4 -0.0189392
168000 300.529 -14615.7 4.85085
169000 300.499 -14595.8 11.5972
170000 301.209 -14621.7 -4.22209
171000 301.01 -14612.1 -5.36057
172000 299.698 -14682.1 0.157865
173000 299.42 -14643.8 25.4343
174000 301.488 -14639.9 -16.2281
175000 298.288 -14622.8 13.0476
176000 300.65 -14632.7 10.6605
177000 300.104 -14671 4.54636
178000 298.218 -14708.3 -14.4819
179000 298.913 -14640.9 13.9494
180000 298.868 -14656.1 -1.32956
181000 298.964 -14667.8 -2.91214
182000 300.383 -14647.7 -0.951103
183000 299.842 -14622 0.558135
184000 299.815 -14622.4 7.65376
185000 298.904 -14677.2 2.42348
186000 298.661 -14673.1 5.82064
