# Time-averaged data for fix 3
# TimeStep v_Temperature v_PotentialEnergy v_Pressure
2000 498.851 -11066.5 31.2575
3000 500.039 -10746.2 -3.04312
4000 500.118 -10656.7 -8.31988
5000 501.486 -10669.8 -10.5203
6000 499.739 -10782.9 -10.5652
7000 499.818 -10649.9 3.23771
8000 498.583 -10640.9 -5.10525
9000 500.017 -10718 -3.00924
10000 498.796 -10709.4 -10.5205
11000 496.962 -10693.4 -0.953696
12000 499.608 -10665.4 19.6036
13000 499.685 -10620.7 1.90365
14000 501.01 -10665.8 6.77282
15000 501.063 -10603.8 -5.03196
16000 499.014 -10606.7 0.870876
17000 499.618 -10603.1 -0.941277
18000 497.746 -10689 -3.20416
19000 501.185 -10532.3 3.48267
20000 498.234 -10726.4 -2.18349
21000 502.936 -10713.4 4.59549
22000 498.952 -10740.7 -7.81885
23000 500.096 -10655.2 1.74202
24000 496.892 -10772.1 7.41751
25000 499.869 -10612.5 10.1565
26000 499.534 -10619.2 -22.1531
27000 500.685 -10822.7 23.5803
28000 497.433 -10779.8 -6.20261
29000 498.327 -10676.1 8.27025
30000 498.074 -10684.9 11.6962
31000 496.552 -10851.3 2.13146
32000 499.03 -10747.5 -10.6453
33000 499.97 -10723.4 5.16399
34000 501.778 -10652.7 12.435
35000 499.829 -10644.1 -4.19717
36000 495.641 -10764.8 -6.81018
37000 499.406 -10653.3 -5.56307
38000 500.941 -10671.8 -9.31003
39000 495.148 -10851.6 5.37932
40000 502.538 -10595.5 12.1597
41000 498.273 -10556.2 -4.64628
42000 497.939 -10567.2 -3.02094
43000 501.752 -10584.5 -1.90812
44000 502.21 -10701 -6.46557
45000 497.66 -10687.7 2.04494
46000 500.977 -10779.8 19.4512
47000 497.393 -10878.3 12.4496
48000 502.469 -10707.9 0.338996
49000 498.978 -10746.7 8.0841
50000 500.113 -10729.9 -2.32894
51000 499.125 -10677.6 -3.2946
52000 498.41 -10612.2 -4.23541
53000 502.206 -10685 -7.94772
54000 498.314 -10768.6 -1.02944
55000 500.205 -10779.7 -6.26119
56000 501.837 -10641.3 12.3041
57000 499.741 -10690.4 -1.56118
58000 500.879 -10680 4.68733
59000 497.255 -10742.7 19.1631
60000 500.789 -10454.3 -0.399979
61000 500.415 -10627.3 9.51212
62000 497.427 -10649.8 -2.40764
63000 502.27 -10519 -1.26688
64000 499.953 -10560.5 1.78513
65000 500.736 -10618.6 -3.04574
66000 502.553 -10656.3 18.0261
67000 499.795 -10655.7 -5.69389
68000 501 -10643.6 6.26729
69000 499.088 -10563.9 -15.521
70000 501.862 -10481.5 -1.83219
71000 501.224 -10481.3 -1.8118
72000 500.205 -10637.8 3.18577
73000 501.811 -10714 8.5373
74000 499.582 -10684.7 3.45429
75000 497.841 -10626.2 3.32072
76000 502.182 -10665.7 -2.87419
77000 497.336 -10820.1 3.97878
78000 499.559 -10749.4 4.31577
79000 498.441 -10705.9 11.7537
80000 500.587 -10679.9 -10.6951
81000 499.954 -10727.3 7.59837
82000 501.385 -10677.9 -7.5494
83000 501.168 -10631.3 2.51695
84000 499.316 -10668.4 2.61131
85000 500.629 -10679.8 -2.39826
86000 500.346 -10717.8 10.039
87000 501.128 -10636 11.9355
88000 500.431 -10564.4 -9.94019
89000 499.7 -10675.4 2.42964
90000 500.284 -10678.6 3.98808
91000 501.869 -10631.7 -0.112377
92000 500.191 -10659.8 -4.0965
93000 500.47 -10648.4 4.85217
94000 501.582 -10651.4 -1.81117
95000 500.876 -10524.9 -3.72059
96000 498.263 -10561.6 -5.95115
97000 497.593 -10675.4 5.44929
98000 499.331 -10717.4 2.99417
99000 500.641 -10611 -2.21426
100000 499.624 -10672.3 0.690089
101000 501.004 -10747.7 12.3498
102000 500.268 -10730.2 -1.2232
103000 498.484 -10753.5 -6.92671
104000 500.13 -10749.1 -4.87581
105000 499.166 -10681 9.95767
106000 502.757 -10486.2 -7.5701
107000 499.834 -10664.3 1.35689
108000 498.084 -10695.5 -6.03364
109000 501.187 -10666 -4.85799
110000 499.14 -10622.3 12.2622
111000 501.743 -10633.6 -9.51903
112000 499.664 -10671.9 3.1813
113000 498.043 -10719.6 -3.08257
114000 500.708 -10713.9 -0.811045
115000 505.055 -10593.2 11.5492
116000 499.19 -10632.4 2.62577
117000 498.15 -10593.8 -4.89902
118000 499.944 -10621.3 8.12252
119000 498.347 -10682 11.8935
120000 498.716 -10751.9 1.8646
121000 497.003 -10703 -15.0117
122000 501.634 -10708.4 8.03428
123000 498.081 -10617.3 -5.1682
124000 500.002 -10560.6 9.14234
125000 501.001 -10558.6 12.1254
126000 501.178 -10712.4 -6.64057
127000 501.634 -10596.7 8.10489
128000 498.08 -10751.2 2.46485
129000 499.312 -10678.8 -4.27197
130000 499.903 -10655.6 -0.367132
131000 501.078 -10573.2 -10.3099
132000 499.376 -10732.6 1.34829
133000 498.567 -10674 -3.45815
134000 501.545 -10604.9 19.3232
135000 497.287 -10637.2 -5.61126
136000 499.755 -10636.4 2.92141
137000 501.04 -10658.9 -4.52508
138000 501.252 -10564.4 9.03834
139000 500.871 -10579.4 -13.457
140000 500.28 -10658.7 16.3899
141000 501.366 -10547.9 -10.7008
142000 499.495 -10631.2 16.1868
143000 498.727 -10668 -7.509
144000 500.759 -10640.1 14.1375
145000 498.875 -10657 -5.15673
146000 499.287 -10660.6 9.29663
147000 499.262 -10668 10.7661
148000 498.386 -10562.3 0.339812
149000 499.245 -10576.5 -2.34667
150000 499.69 -10583.1 8.96265
151000 499.731 -10593.8 -0.314565
152000 499.502 -10713.4 1.98784
153000 502.153 -10589.4 -2.39751
154000 498.421 -10600.6 12.9752
155000 501.023 -10611.7 -11.8502
156000 498.136 -10768.4 4.84992
157000 499.796 -10665.6 1.98995
158000 501.714 -10599.9 -10.0408
159000 500.813 -10729 12.2224
160000 504.513 -10624.5 5.69314
161000 499.925 -10661.5 -9.88875
162000 500.749 -10677.3 15.6043
163000 503.3 -10547.5 -9.08576
164000 502.254 -10562.3 4.74989
165000 502.913 -10572.8 8.11517
166000 498.756 -10693.7 -5.11832
167000 502.244 -10684.1 16.0893
168000 498.1 -10762.7 15.3817
169000 500.233 -10743.2 -11.8434
170000 496.457 -10736.1 0.145447
171000 500.523 -10768.4 1.20238
172000 503.695 -10625.9 -13.6174
173000 501.169 -10667.2 3.38584
174000 500.961 -10748.9 -7.0846
175000 499.517 -10652.6 1.2566
176000 498.397 -10714.6 -0.361052
177000 499.296 -10657.5 -6.82288
178000 499.006 -10756.6 8.14741
179000 499.189 -10732.4 4.92946
180000 501.337 -10681.8 -9.03018
181000 503.08 -10702.3 11.2417
182000 501.401 -10671.7 -3.57315
183000 501.573 -10735.9 -1.94458
184000 499.748 -10685 -9.01845
185000 499.214 -10762.9 13.5657
186000 499.303 -10686.4 -0.228459
187000 502.093 -10718.4 4.94435
188000 500.993 -10641.7 15.3478
189000 500.14 -10613.4 -6.39013
190000 498.252 -10706.6 1.17962
191000 502.62 -10672.5 6.26849
192000 498.219 -10733 -5.3713
193000 500.949 -10650.6 0.560326
194000 500.261 -10681.5 -1.51735
195000 501.717 -10606.7 10.8584
196000 499.298 -10617 2.50554
197000 501.458 -10708.7 0.179512
198000 502.384 -10629.8 2.30843
199000 498.453 -10630.8 9.37378
200000 498.101 -10760.4 4.67446
201000 500.301 -10668.7 -6.57169
202000 499.401 -10698.9 7.74072
203000 500.692 -10617.3 -0.571922
204000 501.999 -10670.3 -0.595291
205000 498.302 -10796.9 5.5131
206000 501.325 -10638.3 7.19857
207000 499.763 -10678.1 -7.1411
208000 501.312 -10699.6 -7.47097
209000 501.441 -10588.8 12.4253
210000 500.745 -10662.7 8.60235
211000 502.14 -10501 8.64134
212000 501.681 -10564.5 3.75672
213000 499.991 -10588 22.5672
214000 502.062 -10536.8 -8.74522
215000 501.52 -10464.5 6.21364
216000 499.24 -10496.6 -8.40466
217000 501.743 -10634.8 1.44734
218000 498.508 -10617.6 -4.20734
219000 498.747 -10713.6 16.3796
220000 497.494 -10674.9 -4.97752
221000 497.412 -10613.9 -8.45212
222000 498.585 -10676.4 11.967
223000 498.752 -10732.2 5.3061
224000 501.148 -10655 -9.8319
225000 499.427 -10595.6 -2.05303
226000 501.544 -10556.7 -7.63714
227000 498.71 -10602.3 6.59578
228000 500.759 -10579.6 3.55639
229000 500.849 -10692 4.24194
230000 502.488 -10703.3 0.222955
231000 500.304 -10587.9 -5.25666
232000 497.885 -10625.2 -5.54871
233000 502.853 -10710.4 1.85974
234000 498.311 -10669.5 0.212153
235000 499.161 -10649.6 0.69315
236000 502.027 -10575.7 3.27506
237000 499.993 -10576 -0.497409
238000 499.923 -10686.7 16.6243
239000 499.856 -10605.9 -9.32276
240000 501.186 -10589.5 9.42435
241000 501.481 -10588.9 1.21246
242000 500.128 -10557.3 -3.68561
243000 502.006 -10457.6 2.48725
244000 499.274 -10658.3 10.5559
245000 499.685 -10770.6 -8.0424
246000 497.796 -10826.1 6.45881
247000 501.378 -10669.9 -6.83925
248000 499.874 -10679.1 -11.5301
249000 499.941 -10730.8 3.03974
250000 501.117 -10696.4 -17.4055
251000 500.215 -10725.7 9.63962
252000 499.808 -10621.5 -7.22376
253000 501.699 -10644.6 -4.54466
254000 497.295 -10715.9 -1.4237
255000 500.588 -10638.8 8.82015
256000 501.092 -10634.9 6.43693
257000 500.686 -10667.9 5.25398
258000 498.213 -10670.1 4.51017
259000 502.838 -10673.7 5.5083
260000 497.036 -10836.5 -3.47857
261000 500.203 -10664 -11.9254
262000 497.937 -10822.6 -0.034724
263000 501.007 -10659 4.80806
264000 499.415 -10777.9 7.62176
265000 498.235 -10705.1 -0.608377
266000 499.129 -10634.4 5.36965
267000 500.292 -10622.7 -5.27251
268000 502.865 -10442.3 5.76204
269000 498.533 -10565.8 -0.739708
270000 502.61 -10547.5 5.36971
271000 499.075 -10640.8 -11.1481
272000 500.764 -10677.9 -9.43929
273000 500.599 -10697.9 7.30218
274000 500.717 -10605.9 -13.391
275000 500.624 -10661.1 1.24856
276000 499.865 -10636.2 -9.02034
277000 500.269 -10715.4 13.2506
278000 498.933 -10651.7 0.823478
279000 499.905 -10756.7 14.5971
280000 497.582 -10567.7 -9.01693
281000 501.194 -10601 -0.238468
282000 498.294 -10608.4 -15.4456
283000 500.842 -10685.7 -0.444878
284000 501.903 -10586 1.32822
285000 502.108 -10610.5 -2.68149
286000 502.461 -10620.4 8.49192
287000 498.39 -10692.9 6.76019
288000 502.006 -10582.3 7.98299
289000 501.342 -10581.9 6.39365
290000 503.094 -10550.4 1.09104
291000 500.395 -10659 1.59436
292000 499.717 -10617.8 12.1469
293000 503.222 -10631.1 2.88837
294000 500.074 -10684.7 0.382971
295000 500.451 -10715.5 15.4744
296000 498.291 -10812.5 2.01341
297000 499.948 -10716.5 -2.83841
298000 498.766 -10679.3 0.215352
299000 500.612 -10565.2 6.32072
300000 499.83 -10500.2 -2.02181
301000 500.29 -10654.4 8.47086
302000 498.093 -10642.2 -6.83374
303000 498.295 -10762.3 13.4428
304000 499.727 -10602.6 -8.20505
305000 499.569 -10649 -2.24273
306000 497.457 -10757.2 10.1176
307000 502.258 -10677.5 11.637
308000 499.246 -10598.4 -5.08155
309000 499.155 -10577.8 0.49266
310000 502.941 -10596.9 -11.0498
311000 499.361 -10659.9 3.15989
312000 501.902 -10565.5 -2.98509
313000 502.504 -10688.5 -9.03408
314000 497.391 -10687 -1.0072
315000 501.589 -10600.7 17.3577
316000 499.654 -10525.4 -1.11709
317000 501.407 -10697.5 11.314
318000 500.67 -10678.4 4.8361
319000 500.23 -10547.4 -15.101
320000 497.736 -10661.3 -5.32561
321000 499.084 -10666.3 17.3322
322000 497.994 -10772 -18.6339
323000 499.373 -10635.7 17.1443
324000 501.471 -10583.1 -3.73375
325000 499.909 -10612.7 3.43277
326000 500.529 -10579.4 -7.37549
327000 499.806 -10623.3 10.1574
328000 499.867 -10724.4 -6.02181
329000 499.846 -10660.9 -5.72156
330000 500.074 -10607.6 8.11848
331000 499.49 -10667.7 -1.52018
332000 502.254 -10620.7 6.32594
333000 500.649 -10542.3 -2.69557
334000 502.155 -10569.9 -3.29077
335000 500.294 -10654.1 -3.19071
336000 503.796 -10579.7 5.59104
337000 498.252 -10666.8 0.000439725
338000 500.39 -10600.2 -15.3037
339000 500.711 -10582 3.43616
340000 500.285 -10600.3 12.2499
341000 504.343 -10591.1 -4.32714
342000 498.676 -10705.1 -5.84905
343000 500.416 -10668 0.261819
344000 501.607 -10683.5 5.69038
345000 499.973 -10625.9 -2.31377
346000 499.977 -10568.2 -6.03839
347000 500.386 -10614.9 -0.455499
348000 499.082 -10545.2 5.61196
349000 499.898 -10567.5 8.95187
350000 500.695 -10662 -5.32935
351000 501.165 -10637.3 6.64541
352000 499.976 -10724.2 7.5211
353000 499.242 -10619.3 0.580453
354000 497.061 -10784.1 -6.63098
355000 502.684 -10597.3 -2.50771
356000 497.888 -10625.3 0.695652
357000 499.979 -10779.8 -11.6773
358000 499.304 -10701.3 16.1078
359000 500.525 -10696.1 -1.06338
360000 498.238 -10606.5 2.91636
361000 501.236 -10629.9 12.3642
362000 498.722 -10681.4 -5.21986
363000 500.554 -10557.7 6.86915
364000 501.637 -10689.9 -3.62574
365000 501.724 -10663.6 5.22534
366000 502.034 -10738.6 3.20235
367000 497.617 -10732.1 -3.94859
368000 499.487 -10766.6 12.8645
369000 501.218 -10603.8 2.24888
370000 501.039 -10519.9 12.6273
371000 501.139 -10493.2 -0.565509
372000 499.956 -10614.9 -8.82776
373000 498.809 -10690.6 3.93538
374000 501.961 -10760.8 8.61289
375000 500.356 -10647.2 0.825792
376000 496.763 -10692.4 -8.82204
377000 498.922 -10614.6 5.39755
378000 501.753 -10598.5 -3.53473
379000 498.497 -10716.8 10.1021
380000 499.226 -10655.2 5.27177
381000 500.707 -10544.4 -2.32059
382000 500.078 -10686.6 12.633
383000 497.524 -10741.1 -1.91984
384000 501.156 -10642.4 1.68196
385000 503.172 -10530.3 -5.68417
386000 499.961 -10622 0.485135
387000 500.125 -10681.5 7.39295
388000 501.317 -10647.8 0.126356
389000 501.947 -10648.4 -8.27791
390000 499.911 -10477.1 -2.99181
391000 500.204 -10604.6 16.666
392000 500.098 -10611.5 -6.47569
393000 499.419 -10699.9 9.91531
394000 499.211 -10642.3 -15.7281
395000 501.163 -10606.5 4.43968
396000 498.493 -10751.8 1.55736
397000 495.83 -10785.3 -3.31282
398000 497.872 -10686.6 5.49373
399000 498.962 -10718.3 11.5741
400000 499.641 -10850.1 -1.14082
401000 499.928 -10795.2 16.8727
402000 499.197 -10724.5 -5.48726
403000 500.102 -10754.4 4.42218
404000 499.965 -10695.7 2.21466
405000 496.866 -10756.8 14.6165
406000 502.139 -10672.6 -8.17782
407000 498.403 -10751.5 12.3058
408000 498.855 -10698 3.25765
409000 500.362 -10697.3 -7.85436
410000 500.854 -10705.1 5.17377
411000 499.887 -10600.2 -5.07545
412000 500.458 -10724.8 -8.66509
413000 497.153 -10742.1 11.2685
414000 502.382 -10654.9 -10.2394
415000 499.831 -10644.5 -0.705619
416000 499.591 -10696 0.549833
417000 500.892 -10638.5 12.6085
418000 498.091 -10708.5 4.3024
419000 500.344 -10736.7 19.743
420000 500.56 -10665 3.42584
421000 500.302 -10699.1 -6.51267
422000 500.661 -10576.3 2.53924
423000 500.927 -10661.7 8.4887
424000 498.555 -10680.8 -3.60916
425000 501.728 -10562.1 -16.2484
426000 501.11 -10595.1 -10.9781
427000 499.814 -10635.5 17.5339
428000 500.532 -10667.9 3.96431
429000 499.307 -10761.8 5.82459
430000 499.776 -10641.1 -10.3454
431000 499.87 -10795 11.5356
432000 501.681 -10593.2 7.25069
433000 500.194 -10599.4 -9.02895
434000 503.821 -10629.4 3.5897
435000 499.063 -10659.7 19.7689
436000 498.228 -10692 1.66781
437000 503.567 -10653.9 8.91691
438000 498.583 -10675.9 -1.1647
439000 498.103 -10759.1 -2.33236
440000 499.716 -10802 3.57704
441000 497.267 -10778.6 -11.4409
442000 505.269 -10569.7 9.67274
443000 499.471 -10620.7 -2.83337
444000 501.417 -10620 9.11869
445000 497.481 -10671.1 -2.27445
446000 500.707 -10652.2 -9.6919
447000 498.535 -10678.4 3.64152
448000 499.815 -10611.5 -0.934568
449000 503.116 -10545 -7.70503
450000 499.795 -10538.3 -6.97867
451000 499.281 -10577.7 10.5102
452000 502.417 -10617.8 -1.7018
453000 500.73 -10696.5 -6.10335
454000 501.698 -10624.6 6.9375
455000 497.471 -10727.4 4.43353
456000 502.811 -10600.8 2.92753
457000 497.62 -10649.1 -23.8122
458000 502.561 -10631.6 17.0538
459000 501.638 -10583 -5.58759
460000 499.112 -10670.2 -3.12377
461000 499.747 -10545.3 8.32248
462000 495.775 -10551.6 -1.85236
463000 499.295 -10597 6.93429
464000 502.938 -10606.9 5.30917
465000 498.593 -10702.8 13.1492
466000 499.022 -10593.9 -0.278011
467000 499.469 -10593 -0.524676
468000 500.957 -10515.2 -3.67544
469000 501.087 -10695.3 2.28761
470000 500.758 -10687.4 -3.58381
471000 501.022 -10697 18.2064
472000 497.292 -10808.1 -8.24445
473000 499.515 -10708.9 5.31972
474000 500.593 -10700.9 2.05676
