# Time-averaged data for fix 3
# TimeStep v_Temperature v_PotentialEnergy v_Pressure
2000 421.117 -14237.2 140.941
3000 498.774 -12360.2 147.759
4000 498.751 -12313.7 46.405
5000 500.286 -12194.7 13.5026
6000 500.356 -12122.2 55.6646
7000 499.889 -12068.1 -68.1544
8000 498.53 -12115.1 28.8067
9000 499.016 -12156.3 -8.59099
10000 500.776 -12159.4 54.8581
11000 502.983 -12092.3 -88.4152
12000 497.894 -12265.3 112.133
13000 499.151 -12215.6 -8.56547
14000 500.094 -12195.4 46.4364
15000 502.11 -12119.8 48.5592
16000 495.444 -12097.4 -82.9673
17000 499.555 -12148.7 17.9999
18000 500.559 -12122.1 -14.274
19000 500.122 -12152.8 46.0068
20000 501.385 -12106.2 16.1489
21000 497.943 -11953.5 -138.108
22000 500.569 -12134.8 20.1556
23000 500.26 -12272 132.228
24000 501.495 -12122.7 -85.3426
25000 499.83 -12112.7 48.7652
26000 498.684 -12090.1 -23.0714
27000 503.422 -12162.7 81.7644
28000 500.567 -12133.9 -78.4268
29000 500.012 -12276.5 126.466
30000 499.274 -12129.1 66.6482
31000 501.723 -12043.2 2.95969
32000 500.529 -12043.2 -111.051
33000 498.462 -12114 -25.7336
34000 500.957 -12235.3 78.1046
35000 502.284 -12111.8 -42.7162
36000 500.776 -12219.2 -6.28336
37000 500.097 -12292.4 73.4768
38000 498.284 -12207 -5.01643
39000 499.854 -12134 -116.833
40000 498.159 -12266.2 217.33
41000 498.339 -12133.7 -96.3104
42000 500.483 -12131.6 -77.3045
43000 500.273 -12219.7 16.1962
44000 500.541 -12227.9 91.1769
45000 500.033 -12154.5 -87.7729
46000 498.598 -12253.8 22.9822
47000 499.356 -12098.2 -73.4202
48000 501.511 -12035.7 -26.3255
49000 502.611 -12076.7 -46.5672
50000 501.488 -12244.1 91.5824
51000 499.345 -12169.7 -34.2535
52000 502.516 -12137.5 60.5537
53000 496.252 -12083.5 -122.601
54000 499.306 -12247.8 226.505
55000 500.576 -12060.6 -47.424
56000 502.041 -12005.4 -3.84876
57000 499.7 -12076.1 -40.0335
58000 497.781 -12267.4 90.6318
59000 499.137 -12188.4 -11.036
60000 501.392 -12127.3 -87.399
61000 501.515 -12231.7 97.8719
62000 496.991 -12218 -50.8979
63000 498.856 -12251 121.556
64000 499.194 -12219.9 2.44274
65000 496.36 -12075 -99.1812
66000 499.293 -12088.7 -41.2454
67000 500.43 -12165.3 150.06
68000 499.079 -12229.6 35.9463
69000 498.283 -12203.8 -54.5827
70000 498.774 -12237.2 61.0668
71000 499.282 -12072 -63.3016
72000 501.319 -12079.5 -20.3807
73000 501.583 -11993.7 -29.8896
74000 500.329 -12260.1 68.5889
75000 499.929 -12212.8 91.5098
76000 500.155 -12022 -54.412
77000 502.154 -12104.7 22.8723
78000 502.574 -12217.5 94.1832
79000 499.003 -12117.5 -158.044
80000 499.835 -12124.3 9.35492
81000 500.315 -12116.6 33.7231
82000 500.006 -12140 45.5482
83000 501.795 -11955.9 -102.2
84000 499.855 -12066.9 87.8164
85000 500.275 -12036.9 -91.0982
86000 501.031 -12138 35.4058
87000 502.093 -12222.9 124.288
88000 499.083 -12118.9 -74.4223
89000 501.928 -12044.2 -17.3549
90000 502.173 -12044.3 -55.8969
91000 499.459 -12241.7 69.9005
92000 502.09 -12161.3 28.3867
93000 497.036 -12177.7 -55.2222
94000 504.63 -12260.8 60.6371
95000 500.892 -12251.4 110.648
96000 499.581 -12174.1 -13.2319
97000 501.938 -12035.7 65.7535
98000 500.034 -11955.5 -116.725
99000 497.579 -12038.6 -17.1752
100000 499.52 -12173.3 -0.804073
101000 500.248 -12197.5 -36.836
102000 501.418 -12165.4 72.6577
103000 498.109 -12136.9 -107.69
104000 499.683 -12150 23.3912
105000 503.1 -12124.8 41.257
106000 500.444 -12197.2 -14.7525
107000 499.432 -12246.1 -2.22359
108000 500.819 -12096.6 14.3486
109000 499.417 -12134 -70.4955
110000 498.176 -12194.2 27.5961
111000 495.627 -12227.5 67.9345
112000 502.778 -12060 38.6345
113000 501.211 -11977 -139.297
114000 501.494 -12065.3 25.7438
115000 502.909 -12184.9 70.5437
116000 501.775 -12088.6 -82.5176
117000 502.129 -12072.1 5.20731
118000 497.607 -12118.7 -45.661
119000 501.828 -12092.5 82.7348
120000 498.886 -12141.7 55.6483
121000 500.108 -12018.9 -92.8231
122000 503.645 -12033.8 -3.84132
123000 500.743 -12256.2 144.057
124000 503.436 -12068.7 -41.7436
125000 500.309 -12079 -16.0659
126000 500.523 -12097.3 35.6016
127000 500.013 -12181 -0.484995
128000 502.242 -12120.7 40.2555
129000 501.023 -12005.2 -102.515
130000 502.723 -12083.5 39.8737
131000 502.091 -12081.8 -40.9413
132000 497.615 -12288.1 175.542
133000 502.138 -12114.5 -5.91984
134000 500.632 -12051.8 -59.4065
135000 501.657 -12026.4 15.9594
136000 498.919 -12119.2 -5.93639
137000 499.552 -12145.3 -22.3485
138000 498.801 -12152.4 48.7271
139000 498.588 -12108.3 32.0197
140000 497.227 -12123 -17.2163
141000 501.154 -12086.3 9.26725
142000 500.45 -12194 32.0005
143000 503.363 -12175.7 79.3487
144000 500.15 -12004.8 -53.9883
145000 502.753 -11964.6 1.1171
146000 503.655 -11907 -142.367
147000 500.142 -12119.5 51.3461
148000 500.334 -12120.7 15.4659
149000 496.397 -12188.8 -6.70862
150000 501.419 -12160.3 -16.5657
151000 499.463 -12297.7 136.058
152000 499.299 -12100.2 -65.2101
153000 496.698 -12131.5 -72.7984
154000 502.09 -12249.1 118.071
155000 500.44 -12268.8 0.92421
156000 500.681 -12041.1 -36.589
157000 498.449 -12106.6 -82.9629
158000 501.255 -12101 124.302
159000 500.995 -12176.5 56.8973
160000 499.42 -12099.4 -118.986
161000 501.635 -12326.5 179.543
162000 499.797 -12255.1 -5.90613
163000 501.331 -12116.5 -79.0479
164000 500.142 -12050.6 -10.2613
165000 502.429 -12117.4 32.7458
166000 501.967 -12004.1 -43.857
167000 501.634 -11927.8 -77.9054
168000 499.31 -11983.5 -31.3189
169000 501.742 -12031.6 74.4696
170000 497.371 -12162.6 -36.3284
171000 505.615 -11978.5 21.4698
172000 498.998 -12170.3 -6.94243
173000 498.139 -12312.7 19.1366
174000 498.893 -12240.6 -2.84797
175000 501.323 -12144.2 -12.5196
176000 501.63 -11946 -127.933
177000 499.014 -11964.2 38.5363
178000 502.639 -12188.3 113.441
179000 497.948 -12166.8 16.7503
180000 500.055 -12090 -63.775
181000 501.967 -12078.5 23.9157
182000 497.963 -12297.5 107.159
183000 499.106 -12197.5 -68.6528
184000 495.959 -12105.7 -13.5507
185000 499.642 -12091.9 125.137
186000 496.947 -12178.1 -14.575
187000 502.453 -12057.4 5.68952
188000 498.845 -12107.8 -127.129
189000 499.52 -12284.5 203.785
190000 500.507 -12262.3 23.5612
191000 499.891 -12136.3 -130.983
192000 502.325 -12091.7 82.7091
193000 503.12 -12086.6 -78.1784
194000 498.657 -12333.8 172.597
195000 501.708 -12137.4 -71.3429
196000 502.653 -12036 -103.863
197000 500.543 -12211.6 171.397
198000 500.707 -11983.3 -170.808
199000 503.158 -12164.6 100.669
200000 501.36 -12160.8 3.12515
201000 497.455 -12226.3 -66.5688
202000 503.426 -12184.8 114.206
203000 500.696 -12064.9 -92.0477
204000 498.179 -12100 42.4005
205000 500.752 -12063.3 -51.4945
206000 503.573 -12061.2 -99.1077
207000 503.059 -12231.5 69.1269
208000 502.326 -12176.6 -52.4495
209000 500.582 -12107.4 39.3513
210000 501.914 -12063.1 28.3775
211000 501.121 -12104.7 -38.4564
212000 500.62 -12106.1 54.6159
213000 499.239 -12125.9 -124.883
214000 499.342 -12245.2 109.894
215000 498.909 -12111.4 -18.2054
216000 503.921 -12051.9 55.8754
217000 500.765 -12087.9 -62.0535
218000 501.204 -12092.9 -38.6369
