# Time-averaged data for fix 3
# TimeStep v_Temperature v_PotentialEnergy v_Pressure
2000 339.54 -15473.9 -161.877
3000 400.872 -14192.5 -245.769
4000 399.825 -14317.7 16.2402
5000 400.155 -14308.8 17.4649
6000 399.222 -14242.9 19.572
7000 400.505 -14228.1 -105.761
8000 400.176 -14345.8 117.758
9000 399.488 -14347.1 -89.1201
10000 400.564 -14340.7 -26.6366
11000 401.702 -14305.1 33.113
12000 401.998 -14270.9 1.24401
13000 400.822 -14383.2 120.372
14000 401.596 -14321.1 -98.2827
15000 401.037 -14359.9 41.9488
16000 401.554 -14376.2 -105.551
17000 399.296 -14340.7 61.1238
18000 400.877 -14332.4 -3.0827
19000 400.558 -14309.9 -54.8582
20000 397.669 -14379.8 27.6423
21000 400.14 -14269.6 -55.7333
22000 400.599 -14353.6 115.58
23000 401.832 -14297 -127.155
24000 397.982 -14419.5 47.2906
25000 400.434 -14356.9 39.999
26000 400.272 -14373.9 -53.6917
27000 401.356 -14367.1 21.1427
28000 402.246 -14320 -24.5525
29000 397.186 -14313.8 -26.8811
30000 399.793 -14336.9 116.171
31000 398.306 -14289.7 -74.1264
32000 399.543 -14361.2 13.8815
33000 400.141 -14365.8 4.68039
34000 396.926 -14372.7 -80.6382
35000 400.567 -14272.6 89.1424
36000 399.774 -14272.3 4.07955
37000 400.129 -14339.6 -118.536
38000 400.945 -14364.9 71.6688
39000 401.48 -14359.6 40.7497
40000 400.733 -14342.2 22.6071
41000 400.716 -14259.4 -53.199
42000 399.076 -14324.3 61.3276
43000 399.645 -14310 -2.65209
44000 398.62 -14317.8 -50.6242
45000 400.896 -14404 34.1554
46000 401.572 -14378.2 -44.3475
47000 400.534 -14364.5 109.462
48000 397.987 -14335.7 -42.0204
49000 399.678 -14382.7 -3.83228
50000 399.786 -14356.1 18.3462
51000 398.964 -14260.3 -2.49218
52000 399.754 -14367.8 -21.2085
53000 396.086 -14455.5 95.8969
54000 400.63 -14246.6 -163.333
55000 398.461 -14381.1 105.708
56000 401.17 -14228.1 -56.9582
57000 399.844 -14274.6 89.2777
58000 398.888 -14332.4 -74.5585
59000 399.413 -14310.2 -127.966
60000 399.139 -14426 139.032
61000 400.853 -14340.4 -17.3912
62000 399.565 -14371.9 -42.2715
63000 399.344 -14349.2 22.4893
64000 402.152 -14236.4 -77.7793
65000 399.676 -14381.7 9.98875
66000 400.775 -14301.1 75.4428
67000 401.346 -14327.1 -38.6956
68000 401.667 -14302.6 51.9738
69000 402.005 -14293.1 -82.4154
70000 399.75 -14383.8 44.7438
71000 399.703 -14356.7 67.9089
72000 399.172 -14356 -16.0164
73000 398.919 -14353.4 -67.7696
74000 401.368 -14325.1 27.0033
75000 399.718 -14344.2 39.043
76000 398.292 -14410.8 55.8001
77000 400.88 -14278.9 -46.232
78000 400.484 -14328.4 0.71299
79000 401.812 -14299 3.31507
80000 399.826 -14387.9 97.4505
81000 400.127 -14333.6 -141.184
82000 402.558 -14359.1 47.3154
83000 401.089 -14354.7 -14.0499
84000 398.905 -14376.2 -15.088
85000 401.201 -14373.6 57.6052
86000 399.339 -14426.9 -82.8563
87000 398.906 -14399.6 12.0711
88000 403.016 -14283.5 1.59581
89000 401.686 -14320.3 16.6798
90000 397.834 -14315.7 55.1434
91000 397.81 -14287.6 -166.755
92000 402.658 -14326.1 108.668
93000 398.794 -14358.3 -16.8226
94000 398.978 -14432.8 -7.62463
95000 402.417 -14243.3 -108.625
96000 397.697 -14318.2 -19.0638
97000 399.375 -14377.4 149.281
98000 401.353 -14258 -136.061
99000 398.048 -14323.1 60.9479
100000 401.171 -14296.9 -115.296
101000 397.906 -14388.7 19.1929
102000 401.179 -14307.3 25.5616
103000 400.055 -14292 -1.16052
104000 398.411 -14389 -35.9628
105000 399.733 -14302.9 -22.5814
106000 400.39 -14362.5 120.154
107000 400.752 -14336.3 -3.15912
108000 400.75 -14317 -37.4062
109000 400.543 -14316.3 33.3354
110000 400.833 -14268.9 -8.60438
111000 400.04 -14395.1 -15.632
112000 402.346 -14281.1 26.6661
113000 402.229 -14314.3 -64.8085
114000 401.528 -14343.5 52.3427
115000 399.823 -14367.7 -42.245
116000 400.063 -14368.1 -32.4435
117000 397.512 -14409.8 46.1573
118000 400.828 -14330.8 -4.55107
119000 397.814 -14386.9 52.4499
120000 400.411 -14298.7 -62.4121
121000 398.601 -14364.1 93.8981
122000 401.09 -14305.8 -84.5016
123000 402.49 -14320.1 15.8213
124000 400.534 -14339.3 89.2142
125000 399.53 -14390.8 -61.2247
126000 400.833 -14317.3 -70.2811
127000 403.005 -14247.3 -11.1499
128000 400.614 -14357.4 32.6034
129000 402.433 -14230.5 -74.2516
130000 398.047 -14397.5 39.6388
131000 400.793 -14317.2 -35.4305
132000 399.265 -14381.4 64.1253
133000 402.412 -14260.8 5.39727
134000 400.689 -14263.3 -42.3167
135000 402.182 -14243.5 29.1437
136000 400.577 -14338.2 2.14925
137000 396.809 -14438.4 -63.2402
138000 399.817 -14385.5 1.06592
139000 400.888 -14307 60.3726
140000 400.367 -14295.7 -78.4585
141000 400.595 -14378.2 44.8496
142000 399.504 -14315.5 -49.9002
143000 398.638 -14299.3 20.3605
144000 399.221 -14358 -64.2553
145000 400.092 -14401 121.702
146000 402.048 -14362.3 22.9622
147000 400.651 -14315.7 -39.421
148000 400.182 -14304.6 -42.7696
149000 398.471 -14332.7 49.2184
150000 397.636 -14312.3 -12.0326
151000 399.149 -14339 55.0664
152000 398.945 -14335.4 -31.6593
153000 401.498 -14335.2 -56.9987
154000 400.054 -14309.6 72.9109
